Question,Option A,Option B,Option C,Option D,Option E,Answer
"The tax burden falls more heavily on the side of the market that is:",More elastic,"Less elastic","Equally elastic","Most responsive to price","Least responsive to income",B
"According to the law of diminishing marginal utility, as consumption of a good increases:",Total utility must decrease,"Marginal utility eventually decreases","Average utility increases","Total utility stays constant","Price elasticity decreases",B
"The utility maximization rule states that a consumer should allocate spending so:",MU of good X = MU of good Y,Total utility is maximized,"MU per dollar is equal across all goods","Total spending equals income only","MU is maximized for each good",C
"If the price of pizza falls, the substitution effect will:",Decrease quantity demanded of pizza,"Increase quantity demanded of pizza","Shift demand for pizza right","Decrease demand for burgers","Increase demand for burgers",B
"The income effect for a normal good when its price falls will:",Decrease quantity demanded,"Increase quantity demanded","Shift demand left","Have no effect","Decrease total utility",B
"Fixed costs in the short run:",Vary with output,"Do not vary with output","Are zero","Are always larger than variable costs","Decrease as output increases",B
"Variable costs:",Do not vary with output,Vary with output,"Are always zero in long run","Are fixed per unit","Are constant total",B
"Average total cost (ATC) is equal to:",TC / Q,FC / Q,VC / Q,"Change in TC / change in Q","TC + Q",A
"Marginal cost intersects average total cost at:",Its maximum point,"Its minimum point","Half of ATC","Zero MC","Infinite output",B
"The short-run shutdown point for a firm occurs when:",Price = ATC,"Price = AVC","Price = MC only","Price < MC","Price > ATC",B
"Economies of scale occur when:",Long-run ATC increases with output,"Long-run ATC decreases with output","Short-run MC rises","AFC increases","All costs are fixed",B
"A perfectly competitive firm is a:",Price maker,Price taker,"Monopolist","Oligopolist","Monopolistic competitor",B
"In perfect competition, the firm's demand curve is:",Downward sloping,"Perfectly elastic (horizontal)",Perfectly inelastic,"U-shaped","Vertical",B
"A perfectly competitive firm will earn economic profits in the short run if:",P = MC only,"P > ATC at quantity where P = MC","P < AVC","ATC is minimized","MR > MC",B
"In the long run, perfectly competitive firms earn:",Positive economic profits,Zero economic profits,Negative economic profits,"Profits equal to ATC","Unlimited profits",B
"A monopoly faces:",Perfectly elastic demand,"Downward-sloping demand","Perfectly inelastic demand","No demand curve","Horizontal demand",B
"For a monopolist, marginal revenue is:",Equal to price,"Less than price","Greater than price","Equal to average revenue","Equal to total revenue",B
"A monopolist maximizes profit by producing where:",P = MC,"MR = MC","P = ATC","ATC is minimized","TR is maximized",B
"A monopoly creates deadweight loss because it:",Produces too much output,"Charges price below MC","Produces too little output and charges price above MC","Has perfect competition","Maximizes total surplus",C
"Price discrimination requires that the firm can:",Prevent resale between markets,"Charge the same price to everyone","Produce at zero cost","Have perfect competition","Ignore consumer surplus",A
"In monopolistic competition, long-run equilibrium features:",Positive economic profits,"Demand tangent to ATC at Q where MR = MC, zero economic profit","P = MC","Production at minimum ATC","Perfectly elastic demand",B
"Oligopoly is characterized by:",Many small firms,"Few large firms with strategic interdependence","Identical products only","Free entry and exit","Price-taking firms",B
"In a Nash equilibrium:",No player wants to unilaterally change their strategy,"Joint profits are maximized","One player dominates","All players cooperate fully","Strategies are random",A
"A dominant strategy is one that:",Maximizes joint profit,"Is best regardless of what others do","Maximizes individual profit only if others cooperate","Is always second-best","Changes based on expectations",B
"The demand for labor is derived from:",Labor supply,"Demand for the product labor produces","Population growth","Government policy only","Wage levels",B
"Marginal revenue product (MRP) equals:",Marginal product × price,"Marginal product × wage","Average product × price","Total revenue × quantity","Marginal cost × quantity",A
"A profit-maximizing firm hires labor up to the point where:",MRP = wage,"AP = wage","TC = TR","MP = wage","MRP > wage",A
"In a competitive labor market, the firm's labor supply curve is:",Upward sloping,"Perfectly inelastic","Perfectly elastic (horizontal)",Downward sloping,"Vertical",C
"An increase in product demand will:",Decrease labor demand,"Increase labor demand via derived demand","Leave labor demand unchanged","Shift labor supply","Decrease MRP",B
"Which is a negative production externality?",Pollution from factory production,"Vaccination herd immunity","Education benefits to society","Research and development","Public parks",A
"A Pigouvian tax on a negative externality is designed to:",Increase consumption,"Internalize the external cost by shifting private cost to match social cost","Reduce government revenue","Increase profits","Eliminate all production",B
"A public good is characterized by:",Rivalry and excludability,Nonrivalry and nonexcludability,Rivalry and nonexcludability,"Nonrivalry and excludability","Perfect competition",B
"The free-rider problem explains why:",Private markets underprovide public goods,"Public goods are overproduced","Club goods fail","Common resources are underused","Private goods are overconsumed",A
"The tragedy of the commons refers to:",Overuse of rival but nonexcludable resources,"Underuse of public goods","Perfect competition","Price ceilings","Monopoly profits",A
"Which policy corrects a positive externality?",Pigouvian tax,"Pigouvian subsidy","Price ceiling","Price floor","Tariff",B
"In perfect competition, the market achieves:",Allocative inefficiency,"Allocative efficiency (P = MC) and productive efficiency (minimum ATC)",Productive inefficiency only,"Deadweight loss","Monopoly profits",B
"A natural monopoly exists when:",Long-run average costs decline over the relevant range,"Costs rise with output","Many firms can enter easily","Demand is perfectly elastic","Price equals marginal cost",A
