Question,Option A,Option B,Option C,Option D,Option E,Answer
"Differential association theory explains deviance by:",Focusing on biological predispositions,Linking it to the strain between goals and means,Focusing on how people learn deviance through social interactions,Highlighting the lack of social bonds,Examining the labels society places on individuals,C
"Social stratification is best defined as:",A system by which a society ranks categories of people in a hierarchy,The movement of individuals between social classes,The biological differences between men and women,The cultural differences between ethnic groups,The segregation of groups based on race,A
"Which of the following statements about the caste system is true?",It is based on achieved status,It allows for high social mobility,It is based on ascribed status,It is characteristic of industrial societies,It encourages exogamy,C
"In the study of social class, a sociologist would be LEAST likely to focus on:",Power,Social mobility,Style of life,Motivation,Occupational status,D
"According to Max Weber, what are the three most important variables in determining one's place in the social stratification system?",Class status and power,Wealth power and prestige,Property power and prestige,Class party and wealth,Education occupation and income,B
"Which of the following represents a form of social mobility where a person moves from one position to another of equal prestige?",Vertical mobility,Intergenerational mobility,Structural mobility,Horizontal mobility,Intragenerational mobility,D
"The concept of ""glass ceiling"" affecting women in the workforce is best illustrated by which of the following?",The instability of female-dominated jobs,The pay inequity between men and women for comparable jobs,The breakdown of gender stereotypes in the job market,The instability of marriages for women who are successful in the workforce,The barriers that limit career advancement for women,E
"The feminization of poverty refers to:",The trend of women making up an increasing proportion of the poor,The psychological effects of poverty on women,The fact that women are better at coping with poverty than men,The increase in women in the workforce,The decrease in poverty rates among single mothers,A
"Which of the following is true regarding race and ethnicity?",Race is biological; ethnicity is cultural,Race is cultural; ethnicity is biological,Race is a social construction based on physical traits; ethnicity is based on cultural heritage,There is no sociological difference between race and ethnicity,Race allows for more mobility than ethnicity,C
"The practice of judging another culture by the standards of one’s own culture is called:",Cultural relativism,Ethnocentrism,Multiculturalism,Assimilation,Pluralism,B
"Which of the following stages of racial-ethnic relations is best exemplified by the ""Salad Bowl"" metaphor?",Assimilation,Segregation,Genocide,Pluralism,Population transfer,D
"In the United States, which family members are primarily responsible for what is known as the ""second shift""?",Fathers only,Mothers only,Both fathers and mothers,Children,Grandparents,B
"Which of the following is true of social norms for the structure of marriage?",They have consistently required monogamy across all periods of history,They have favored polyandry in societies wanting to increase birth rates,They have frequently held polygyny as the societal ideal,They have no impact in democratic societies,They are based on the ideal of gender equality,C
"Industrialization is most likely to reduce the importance of which of the following functions of the family?",Economic production,Care of young children,Regulation of sexual behavior,Socialization of the individual,Social control,A
"Which perspective is most aligned with the belief that family provides society with economic production, socialization of children, care of the sick and aged, and reproduction?",The conflict perspective,The functionalist perspective,The symbolic interactionist perspective,The feminist perspective,The postmodern perspective,B
"A family unit that is composed of relatives in addition to parents and children who live in the same household is:",A disjointed kinship,An extended family,A nuclear family,A conjugal family,A modern family,B
"Which of the following best describes what sociologists of education mean when they refer to the hidden curriculum?",The manifest results of education,The unintended consequences of schooling,Delayed transmission of knowledge,The formal curriculum,Miscommunication between teacher and student,B
"Tracking in education refers to:",The practice of following students home to check on their environment,Assigning students to specific courses based on test scores and grades,The rise of online learning,The increase in standardized testing,The funding of schools through property taxes,B
"The belief that hard work and ability are the sole determinants of one's success in the education system is known as:",Tracking,Credentialism,The hidden curriculum,Meritocracy,Social promotion,D
"Which of the following religious organizations seeks to maintain exclusiveness, claims to represent the true faith, and is most likely to have split off from a larger religious group?",Cult,Sect,Church,Denomination,Ecclesia,B
"Max Weber linked the emergence of capitalism to the:",Calvinist doctrine of predestination,Catholic monks’ belief in asceticism,Protestants’ desire for material luxuries,Increasing power of the nobility in medieval Europe,Hindu belief in reincarnation,A
"According to Émile Durkheim, religion is characterized by a dichotomy between:",Good and evil,Worship and blasphemy,The sacred and the profane,Believers and nonbelievers,The profound and the banal,C
"What is the term for a religious organization that claims everyone in a society as a member and is integrated with the state?",Denomination,Sect,Cult,Ecclesia,New Religious Movement,D
"Which economic system is characterized by private ownership of the means of production and the pursuit of profit?",Socialism,Communism,Capitalism,Feudalism,Mercantilism,C
"The domination of a market by a few large producers or suppliers is called:",Monopoly,Oligopoly,Conglomerate,Corporation,Free market,B
"According to Max Weber, authority derived from the understanding that individuals have clearly defined rights and duties to uphold and that they implement rules and procedures impersonally is:",Traditional authority,Charismatic authority,Rational-legal authority,Coercion,Persuasion,C
"Which of the following provides U.S. citizens a voice in their government through elected representatives who serve as bridges between the citizenry and the government?",Direct participatory democracy,Representative democracy,Full voting rights,A separation of powers,The media,B
"The ""Power Elite"" model of government suggests that:",Power is distributed equally among all citizens,Power is concentrated in the hands of a small group of military corporate and political leaders,Power is held by interest groups that compete for influence,Power is determined by the voting public,Power is irrelevant in modern democracy,B
"Medicalization refers to:",The process of finding cures for diseases,The increasing cost of healthcare,The process by which non-medical problems become defined and treated as medical problems,The training of doctors and nurses,The spread of diseases globally,C
"According to Talcott Parsons, the ""sick role"" includes which of the following expectations?",The sick person is responsible for their condition,The sick person is exempt from normal social roles,The sick person should not seek medical help,The sick person should enjoy being sick,The sick person is stigmatized,B
"Demography is the scientific study of:",Geography and landforms,Population size composition and distribution,Cultural norms and values,Economic systems,Political voting patterns,B
"Which of the following is NOT a variable used by demographers to study population change?",Fertility,Mortality,Migration,Socialization,Fecundity,D
"The demographic transition theory explains population changes by:",Connecting them exclusively to changes in food supply,Linking population changes to technological development and industrialization,Focusing on the migration of people in and out of territories,Tying population growth to changes in the sex ratio,Referring to a culture’s religious attitudes,B
"In the demographic transition model, a population explosion occurs in which stage?",Stage 1 (High Birth/High Death),Stage 2 (High Birth/Declining Death),Stage 3 (Declining Birth/Low Death),Stage 4 (Low Birth/Low Death),Stage 5 (Negative Growth),B
"Thomas Malthus argued that:",Population grows arithmetically while food grows geometrically,Population grows geometrically while food grows arithmetically,Population and food supply grow at the same rate,Technology will always solve food shortages,Population growth is necessary for economic prosperity,B
"The concentration of the population into cities is known as:",Suburbanization,Gentrification,Urbanization,Industrialization,Migration,C
"Which of the following terms describes the trend of middle- and upper-income Americans moving into city centers and rehabilitating run-down architecture, often displacing the poor?",Urban sprawl,Gentrification,White flight,Redlining,Urban renewal,B
"According to the concentric zone model of urban growth, the center of the city is occupied by:",The commuter zone,The working-class zone,The central business district,The residential zone,The transitional zone,C
"Ferdinand Tönnies used the term *Gemeinschaft* to describe:",A large impersonal urban society,A small close-knit community based on tradition,A society based on organic solidarity,A society driven by self-interest,A modern industrial nation,B
"Which of the following is a form of collective behavior?",A bureaucracy,A family dinner,A riot,A college class,A corporate meeting,C
"A social movement that seeks to bring about a total change in society is referred to as:",Reform movement,Revolutionary movement,Religious movement,Alternative movement,Resistance movement,B
"Which theory suggests that social movements succeed or fail based on their ability to gather money, labor, and media attention?",Relative deprivation theory,Resource mobilization theory,Value-added theory,New social movement theory,Emergent norm theory,B
"The ""graying of America"" refers to:",The increase in pollution in American cities,The aging of the nation's infrastructure,The growing percentage of the population that is 65 years or older,The decline in the birth rate among teenagers,The increase in political apathy among voters,C
"Which of the following sociologists is associated with the concept of the ""sociological imagination""?",Émile Durkheim,Max Weber,C. Wright Mills,Karl Marx,Auguste Comte,C
"Which sociological perspective views society as an arena of inequality that generates conflict and change?",Structural functionalism,Conflict theory,Symbolic interactionism,Dramaturgy,Exchange theory,B
"A status that has special importance for social identity, often shaping a person's entire life, is known as:",Ascribed status,Achieved status,Master status,Status set,Role set,C
"The process by which minorities gradually adopt patterns of the dominant culture is called:",Segregation,Pluralism,Assimilation,Genocide,Multiculturalism,C
"Which of the following is an example of institutional discrimination?",A landlord refusing to rent to a specific person based on race,A bank having a policy that denies loans to residents of certain neighborhoods (redlining),A person using a racial slur,A hate crime committed by an individual,A stereotype held by one person,B
"The term ""patriarchy"" refers to:",A society where women hold power,A society where power is shared equally,A form of social organization in which men dominate women,A society ruled by the elderly,A society based on matrilineal descent,C
"Which of the following is NOT a characteristic of bureaucracy as defined by Max Weber?",Hierarchy of authority,Specialization of tasks,Written rules and regulations,Personal relationships and favoritism,Impersonality,D
"The ""iron law of oligarchy"" suggests that:",Democracies will always prevail,All organizations eventually turn into democracies,Power in organizations tends to concentrate in the hands of a few,Bureaucracies are the most efficient form of organization,Socialism is inevitable,C
"Which of the following represents a latent function of education?",Teaching reading and writing,Transmitting culture,Providing childcare for working parents,Job preparation,Promoting social integration,C
"Which concept refers to the formal and informal mechanisms used to increase conformity to values and norms?",Socialization,Social control,Deviance,Social mobility,Stratification,B
"What is the term for the biological distinction between females and males?",Gender,Sex,Sexual orientation,Gender role,Gender identity,B
"The ""second shift"" refers to:",Working a second job to pay bills,The time spent commuting to work,The housework and childcare that working women do after their paid job,The time spent in retirement,The shift from manufacturing to service jobs,C
"Which sociologist is associated with the concept of ""double consciousness""?",Karl Marx,Max Weber,W.E.B. Du Bois,Emile Durkheim,Harriet Martineau,C
"The unpaid work of maintaining a household and caring for children is often referred to as:",The glass ceiling,The pink collar ghetto,The second shift,The mommy track,The glass escalator,C
"Which of the following is an example of a total institution?",A public university,A corporation,A prison,A family,A church,C
"The idea that if men define situations as real, they are real in their consequences is known as:",The Thomas theorem,The Peter principle,The iron law of oligarchy,The Sapir-Whorf hypothesis,The looking-glass self,A
"Which of the following is considered a ""pink-collar"" occupation?",Construction worker,Engineer,Secretary,CEO,Police officer,C
"The practice of marriage within one's own social group is called:",Exogamy,Endogamy,Polygamy,Monogamy,Homogamy,B
"Which of the following is a function of religion according to the functionalist perspective?",It maintains social inequality,It provides emotional comfort and social solidarity,It is the opium of the masses,It promotes conflict between groups,It hinders social change,B
"Which theoretical perspective would be most interested in how students and teachers negotiate the meaning of grades?",Functionalism,Conflict theory,Symbolic interactionism,Feminist theory,Exchange theory,C
"A system of stratification based on ascribed status with very little social mobility is a:",Class system,Caste system,Meritocracy,Democracy,Socialist system,B
"The ""culture of poverty"" thesis suggests that:",Poverty is caused by structural inequalities,Poor people have values and behaviors that keep them poor,Poverty is a result of the capitalist economy,Poverty is necessary for society to function,The government is responsible for poverty,B
