front,back,CLEP Trap
Counterculture,"A subculture that deliberately opposes certain aspects of the larger culture (e.g., hippies in the 60s, neo-Nazis).","Distinction: Subcultures coexist; Countercultures oppose."
Cultural Lag,"The fact that some cultural elements change more quickly than others, disrupting a cultural system (usually material culture changes faster than nonmaterial).","Example: Technology (material) evolves faster than laws/ethics (nonmaterial) regarding privacy."
Socialization,The lifelong social experience by which people develop their human potential and learn culture.,
Nature vs. Nurture,The debate over the relative influence of biology (nature) vs. social environment (nurture) on human behavior. Sociology emphasizes nurture.,
Looking-Glass Self,"Charles Cooley's concept that our self-image is based on how we think others see us. (1. We imagine our appearance; 2. We imagine their judgment; 3. We feel pride/shame).","Key phrase: ""I am who I think you think I am."""
George Herbert Mead's "I" and "Me",The "I" is the spontaneous, impulsive self. The "Me" is the socialized self that conforms to norms.,"Trap: ""I"" = Subject/Active; ""Me"" = Object/Socialized."
Generalized Other,Mead's term for widespread cultural norms and values we use as a reference in evaluating ourselves.,
Agents of Socialization,Groups that influence our orientation to life. The **Family** is the most important/primary agent.,
Resocialization,"The process of adopting new norms, values, attitudes, and behaviors, often occurring in a **Total Institution** (e.g., prison, boot camp).",
Total Institution,"A setting in which people are isolated from the rest of society and manipulated by an administrative staff (e.g., prisons, mental hospitals).",Concept by Erving Goffman.
Ascribed Status,"A social position a person receives at birth or takes on involuntarily later in life (e.g., race, sex, daughter).",Confused with Achieved Status. Ascribed = Assigned.
Achieved Status,"A social position a person takes on voluntarily that reflects personal ability and effort (e.g., college student, thief, doctor).",
Master Status,"A status that has special importance for social identity, often shaping a person's entire life (e.g., being a doctor, having a severe disability).",
Role Conflict,Conflict among the roles connected to **two or more** statuses (e.g., a working mother balancing job and kids).,"Trap: Role Conflict = Between statuses; Role Strain = Within ONE status."
Role Strain,Tension among the roles connected to a **single** status (e.g., a teacher struggling to be both a disciplinarian and a friend to students).,"Trap: Role Conflict = Between statuses; Role Strain = Within ONE status."
Thomas Theorem,"""If men define situations as real, they are real in their consequences."" (Subjective reality drives behavior).",
Primary Group,"A small social group whose members share personal and lasting relationships (e.g., family, close friends).",Cooley's concept. Characterized by intimacy.
Secondary Group,"A large and impersonal social group whose members pursue a specific goal or activity (e.g., coworkers, political party).",
In-Group vs. Out-Group,In-Group: a social group toward which a member feels respect and loyalty. Out-Group: a social group toward which a person feels a sense of competition or opposition.,
Reference Group,A social group that serves as a point of reference in making evaluations and decisions (e.g., aspiring to be like a specific profession).,
Bureaucracy,"A formal organization modeled on rationality and efficiency. Features: Hierarchy, Specialization, Rules, Impersonality.",Max Weber's concept.
Iron Law of Oligarchy,"Robert Michels's principle that all complex organizations, regardless of how democratic they are when started, eventually develop into oligarchies (rule by a few).",
Deviance,The recognized violation of cultural norms.,"Deviance is relative (what is deviant in one culture may not be in another)."
Strain Theory,Robert Merton's theory that deviance occurs when a society does not give all its members equal ability to achieve socially acceptable goals.,"Modes of Adaptation: Conformity, Innovation (crime), Ritualism, Retreatism, Rebellion."
Differential Association Theory,Edwin Sutherland's theory that we learn to deviate by associating with others who deviate (bad company).,
Control Theory,"Travis Hirschi's theory that social control depends on people anticipating the consequences of their behavior; strong social bonds (attachment, commitment) prevent deviance.",
Labeling Theory,The idea that deviance and conformity result not so much from what people do as from how others respond to those actions (Primary vs. Secondary Deviance).,"Focus is on the *reaction* to the act, not the act itself."
Social Stratification,A system by which a society ranks categories of people in a hierarchy.,
Caste System,"Social stratification based on **ascription** (birth). Low social mobility. (e.g., traditional India).",Trap: Closed system.
Class System,Social stratification based on both birth and **individual achievement**. Open system with mobility.,
Social Mobility,A change in position within the social hierarchy. Can be **Intergenerational** (between generations) or **Intragenerational** (within a lifetime).,
Structural Mobility,"Mobility that is inevitable from changes in the economy (e.g., recession, industrialization) rather than individual effort.",
Wealth vs. Income,"Wealth = Total assets minus debt (stock, house). Income = Earnings from work or investments. Wealth is distributed much more unequally than income.",
Feminization of Poverty,The trend of women making up an increasing proportion of the poor.,
Race vs. Ethnicity,"Race = socially constructed category based on biological traits (skin color). Ethnicity = shared cultural heritage (language, religion).","Trap: Race is biological traits; Ethnicity is cultural traits."
Prejudice vs. Discrimination,"Prejudice = Attitude/Belief (negative thought). Discrimination = Action/Behavior (unequal treatment).","Trap: Prejudice is in the head; Discrimination is an act."
Stereotype,A simplified description applied to every person in some category.,
Assimilation,The process by which minorities gradually adopt patterns of the dominant culture.,
Pluralism,"A state in which people of all races and ethnicities are distinct but have equal social standing (The ""Salad Bowl"").",
Sex vs. Gender,"Sex = biological distinction (male/female). Gender = social/cultural significance (masculine/feminine).",
Patriarchy,A form of social organization in which men dominate women.,
Glass Ceiling,"An invisible barrier that blocks the promotion of a qualified individual in a work environment because of gender, race, or ethnicity.","Often confused with Glass Escalator (men promoted fast in female fields)."
Nuclear Family,A family composed of one or two parents and their children (conjugal family).,
Extended Family,A family composed of parents and children as well as other kin (grandparents, aunts) living together.,
Monogamy vs. Polygamy,"Monogamy = Marriage to one spouse. Polygamy = Marriage to multiple spouses. (Polygyny = 1 man + wives; Polyandry = 1 woman + husbands).",Trap: Polygyny is the most common form of polygamy.
Endogamy vs. Exogamy,"Endogamy = Marriage *within* a social group (caste, race). Exogamy = Marriage *outside* a social group.",
Patrilocality vs. Matrilocality,Patrilocality = Couple lives with/near husband's family. Matrilocality = Couple lives with/near wife's family.,
Tracking,"Assigning students to different types of educational programs (e.g., college prep vs. vocational) based on ability.",Conflict theorists argue this perpetuates inequality.
Hidden Curriculum,"The subtle lessons that children learn in school besides the formal curriculum (e.g., conformity, obedience to authority).",
Credentialism,The emphasis on certificates or degrees to show that a person has a certain skill or education level.,
Secularization,The historical decline in the importance of the supernatural and the sacred/religion in society.,
Traditional Authority,"Power legitimized by respect for long-established cultural patterns (e.g., Kings, Queens).",Weber's typology.
Rational-Legal Authority,"Power legitimized by legally enacted rules and regulations (e.g., US President, Constitution).",Weber's typology. Also called Bureaucratic Authority.
Charismatic Authority,"Power legitimized by extraordinary personal abilities that inspire devotion and obedience (e.g., MLK Jr., Jesus, Hitler).",Weber's typology. Unstable/temporary.
Capitalism,Economic system in which natural resources and the means of producing goods and services are privately owned.,"Key traits: Private ownership, profit motive, competition."
Socialism,Economic system in which natural resources and the means of producing goods and services are collectively owned.,"Key traits: Collective ownership, state control, meeting needs."
Medicalization,"The process by which non-medical problems become defined and treated as medical problems (e.g., alcoholism, ADHD).",
Sick Role,Talcott Parsons's concept describing the patterns of behavior that a sick person adopts to minimize the disruptive impact of illness (rights and obligations).,
Demography,"The scientific study of population characteristics (fertility, mortality, migration).",
Malthusian Theory,"Thomas Malthus's theory that population grows geometrically (exponentially) while food supply grows arithmetically (linear), leading to catastrophe.",Trap: Population outpaces food.
Demographic Transition Theory,"A thesis that links population patterns to a society's level of technological development. (Stages: 1. High birth/death; 2. High birth/low death; 3. Low birth/death).",
Urbanization,The concentration of population into cities.,
Gemeinschaft,"Tönnies's term for a type of social organization in which people are closely tied by kinship and tradition (Community/Rural).","Confused with Gesellschaft. Gemeinschaft = Community (Intimate)."
Gesellschaft,"Tönnies's term for a type of social organization in which people come together only on the basis of individual self-interest (Society/Urban).",Gesellschaft = Society (Impersonal).
Gentrification,"The trend of middle- and upper-income Americans moving into city centers and rehabilitating run-down architecture, often displacing the poor.",
Collective Behavior,"Activity involving a large number of people that is unplanned, often controversial, and sometimes dangerous (e.g., mobs, riots, fads).",
Social Movement,An organized activity that encourages or discourages social change.,
Relative Deprivation,"The perception that one is worse off relative to those with whom one compares oneself; often a cause of social movements.","Trap: It's not about being absolutely poor, but *feeling* poor compared to others."
Resource Mobilization Theory,"Theory that social movements succeed or fail based on their ability to mobilize resources such as time, money, and people's skills.",
Modernization,The process of social change begun by industrialization.,
World Systems Theory,"Wallerstein's theory that there is a world economic system in which some countries benefit while others are exploited (Core, Semi-periphery, Periphery).",Core nations exploit Periphery nations.
Role Set,A number of roles attached to a single status.,
Cultural Universal,"A value, norm, or other cultural trait that is found in every group (e.g., family structures, funeral rites, jokes).",
Ideal Type,"A construct or model for evaluating specific cases (Weber used this for Bureaucracy).","It is a conceptual tool, not necessarily ""ideal"" in the sense of ""perfect""."
Triad,A social group with three members. More stable than a dyad but allows for coalitions (2 vs 1).,Simmel's concept. Trap: Triads are more stable than Dyads.
The "Graying" of America,The phenomenon of the growing percentage of the population that is 65 years or older.,
