Module 5 Language Development, Age, Milestone, Approximate Vocabulary, Example
Module 5 Language Development, 2–4 Months, Cooing, N/A, "Vowel sounds (""oooo"",  ""ahhh"")."
Module 5 Language Development, 4–6 Months, Babbling, N/A, "Consonant-vowel combos (""ba-ba"",  ""da-da"")."
Module 5 Language Development, 12 Months, First Word, ~1–3 words, """Mama"",  ""Dada"",  ""Ball""."
Module 5 Language Development, 18 Months, Vocabulary Explosion, ~50–100 words, Rapid learning of labels (Fast Mapping).
Module 5 Language Development, 18–24 Months, Telegraphic Speech, ~200–300 words, "Two-word sentences (""Mommy go"",  ""More juice"")."
Module 5 Language Development, 2–3 Years, Complex Sentences, ~1000 words, """I goed to the store"" (Overregularization of grammar rules)."
Module 5 Language Development, 6 Years, Adult-like Grammar, ~10000+ words, Full sentences with correct syntax.
Module 6 Intelligence Testing, Classification, IQ Score Range, Population %, Description
Module 6 Intelligence Testing, Gifted, 130 and above, ~2%, "High cognitive ability; advanced reasoning."
Module 6 Intelligence Testing, Above Average, 115 – 129, ~14%, Bright; learns easily.
Module 6 Intelligence Testing, Average, 85 – 115, ~68%, The majority of the population (within 1 Standard Deviation).
Module 6 Intelligence Testing, Below Average, 70 – 84, ~14%, Slower learning; may need some support.
Module 6 Intelligence Testing, Intellectual Disability, Below 70, ~2%, Deficits in adaptive functioning and IQ.
Module 7 Social Development, Attachment Style, Behavior at Reunion, Caregiver Behavior, Child Outcome
Module 7 Social Development, Secure, "Seeks comfort; easily soothed; returns to play.", "Sensitive; responsive; consistent.", "Confident; socially competent; good relationships."
Module 7 Social Development, Insecure-Avoidant, "Ignores parent; looks away; does not seek comfort.", "Dismissive; unavailable; dislikes physical contact.", "Independent but aloof; difficulty with intimacy."
Module 7 Social Development, Insecure-Resistant, "Seeks comfort but resists it (kicks/arches back); angry.", "Inconsistent (sometimes there,  sometimes not).", "Anxious; clingy; poor emotional regulation."
Module 7 Social Development, Disorganized, "Bizarre behavior; freezes; approaches with fear.", "Frightening; abusive; unresolved trauma.", Highest risk for psychopathology.
Module 8 Family & Society, Parenting Style, Demandingness (Rules), Responsiveness (Warmth), Child Outcome
Module 8 Family & Society, Authoritative, High, High, "Best Outcomes: Independent,  high achiever,  socially skilled."
Module 8 Family & Society, Authoritarian, High, Low, "Obedient but anxious; poor communication skills; rebellious."
Module 8 Family & Society, Permissive, Low, High, "Impulsive; immature; lacks self-control; poor school performance."
Module 8 Family & Society, Uninvolved, Low, Low, "Worst Outcomes: Hostile; delinquent; attachment problems."
Module 9 Personality & Emotion, Temperament Type, Prevalence, Characteristics, Parenting Implication
Module 9 Personality & Emotion, Easy Child, ~40%, "Regular routines; positive mood; adapts easily to new situations.", Standard parenting works well.
Module 9 Personality & Emotion, Difficult Child, ~10%, "Irregular routines; negative mood; intense reactions; resists change.", "Requires patience,  structure,  and consistency."
Module 9 Personality & Emotion, Slow-to-Warm-Up, ~15%, "Low activity level; somewhat negative; withdraws from new situations initially.", "Needs time to adjust; allow child to set own pace."
Module 10 Schooling & Interventions, Type, Action, Effect on Behavior, Example Scenario
Module 10 Schooling & Interventions, Positive Reinforcement, Add pleasant stimulus, Increases behavior, Teacher gives a gold star for turning in homework.
Module 10 Schooling & Interventions, Negative Reinforcement, Remove unpleasant stimulus, Increases behavior, Teacher cancels extra chores because the class was quiet.
Module 10 Schooling & Interventions, Positive Punishment, Add unpleasant stimulus, Decreases behavior, Student is given detention for talking in class.
Module 10 Schooling & Interventions, Negative Punishment, Remove pleasant stimulus, Decreases behavior, Student loses recess privileges for hitting a peer.
Module 11 Psychopathology, Disorder, Typical Onset, Key Symptoms, Diagnostic Criteria
Module 11 Psychopathology, ADHD, Before age 12, "Inattention,  hyperactivity,  impulsivity.", "Symptoms persist 6+ months; impairment in 2+ settings (e.g.,  home & school)."
Module 11 Psychopathology, Autism Spectrum (ASD), Early childhood (before 3), "Social communication deficits; restricted/repetitive behaviors.", "Lack of eye contact; repetitive movements; sensory sensitivities."
Module 11 Psychopathology, Intellectual Disability, Developmental period (<18), Low IQ (<70) AND adaptive functioning deficits., "Must have deficits in daily living skills (self-care,  communication)."
Module 11 Psychopathology, Specific Learning Disability, School age, Gap between IQ and academic achievement (Reading/Math), "Difficulty reading (Dyslexia) or Math (Dyscalculia) despite normal intelligence."
