Question,Option A,Option B,Option C,Option D,Option E,Answer
Heather is currently taking courses in several different academic departments and doing volunteer work to help identify and develop her interests. She also spends a lot of time thinking about her values and goals but has not chosen a career path. Heather’s identity status is referred to as,fixation,identity achievement,identity diffusion,identity foreclosure,identity moratorium,Option E
According to Lev Vygotsky the range between what a child can do alone and what a child can do with assistance is referred to as,higher mental functions,scaffolding,inner speech,egocentric speech,the zone of proximal development,Option E
A researcher is evaluating the effects of three different types of parent-education programs on adolescent mothers’ interactions with their toddlers. What is the independent variable in this investigation?,Adolescent mothers’ interactions with their toddlers,Level of parent-child communication,Type of parent education program,Child’s attachment to the mother,Child’s socioeconomic status,Option C
Which of the following is a cause-and-effect pair that could be tested in a research study using an experimental design?,Low birth weight .. childhood nutrition,Eating disorder in adolescence .. body weight in adulthood,Music lessons .. intelligence,Food preference .. amount of time exercising,Anxiety symptoms .. marijuana use,Option C
A developing organism is most vulnerable to the effects of teratogens during the period of the,ovum,zygote,embryo,fetus,neonate,Option C
With regard to sexual maturity girls generally mature,two years earlier than boys do,four years earlier than boys do,two years later than boys do,four years later than boys do,at approximately the same age as boys,Option A
Carolyn tripped on the carpet and fell. When she got up she looked at her mother who was laughing and she laughed too. This is an example of,empathy,sympathy,social referencing,display rules,semantics,Option C
Proximodistal development is exemplified by which of the following?,Control of gross arm movements prior to fine motor control of the fingers,Control of the lower extremities prior to control of the head,Refinement of perceptual abilities prior to walking,Acquisition of differential skills prior to acquisition of complex skills,Maturation of neural pathways in the cerebrum prior to maturation of the neural pathways in the midbrain,Option A
A researcher was interested in determining the heritability of a specific trait. He measured the trait in a group of same-sex dizygotic (DZ) twins and a group of monozygotic (MZ) twins. The figure shows correlations. Which of the following statements most accurately describes the impact of genes and environment on the trait?,Both genes and the environment influence the trait.,Genetic but not environmental factors affect the trait.,Environmental but not genetic factors affect the trait.,Prenatal influences have stronger effects on development of the trait than do either genes or the environment.,The environment influences the trait among the DZ but not the MZ twins.,Option A
Newborn infants were given either smooth or knobby pacifiers to suck. They were later allowed to look at both types of pacifiers. They looked longer at the type of pacifier they had previously sucked. This finding indicates that newborn infants have,categorical perception,intermodal perception,shape constancy,depth perception,object permanence,Option B
Which of the following cues is most useful to an infant in determining which elements go together to form a coherent object?,Common movement,Linear perspective,Texture gradient,Optical expansion,Convergence,Option A
Aiden and Amilia are friends in preschool who play house together every day. Aiden pretends to clean the house while Amilia pretends to take care of their pet dog. This type of play is known as which type of play?,Onlooker,Associative,Parallel,Cooperative,Egocentric,Option D
A child explains thunder as “the clouds yelling at each other.” This is an example of,conservation,reversibility,animism,egocentrism,logical inference,Option C
The stage of formal operations is characterized by,the application of logical thought to concrete objects and situations,intuitive and animistic thought,abstract thought and hypothetical problem solving,the development of transductive reasoning,the ability to conserve,Option C
Katie a preschooler sees a llama at the zoo for the first time and calls it a sheep. This is an example of,overextension,chaining,fast mapping,divergent thinking,an expressive style,Option A
Research on newborn infants’ hearing shows that they,cannot distinguish one sound from another,are essentially deaf at birth,react most strongly to their mothers’ voices,enjoy hearing their own voices,hear but do not respond to sounds,Option C
A theory of language development that proposes an innate language acquisition device is classified as which of the following?,Nativist,Interactionist,Empiricist,Contextual,Functionalist,Option A
A child who has an IQ of 55 to 70 and delayed social development is classified as having a,mild intellectual disability,moderate intellectual disability,severe intellectual disability,profound intellectual disability,learning disability,Option A
Which of the following statements about ethnicity and intelligence test scores is most accurate?,No differences in intelligence test scores are observed between ethnic groups in the United States.,Accounting for socioeconomic status (SES) does not reduce the ethnic differences in intelligence test scores.,There is greater variation in intelligence test scores within ethnic groups than there is between them.,Differences in intelligence test scores between ethnic groups are most likely attributable to genetic differences.,Inducing stereotype threat reduces the ethnic differences in intelligence test scores.,Option C
A toddler with a secure attachment to a primary caregiver is most likely to,avoid the caregiver when they are reunited after a brief separation,stay in the caregiver’s lap rather than explore a new environment,cry when the caregiver leaves the toddler with a babysitter,have a close bond with only one parent or primary caregiver,respond equally well to the caregiver and to a strange adult,Option C
A boy who believes that he will become a girl if he wears his sister’s clothes has not achieved the concept of,androgyny,gender stability,gender labeling,gender consistency,gender schema,Option D
The process by which fluid from the uterus is taken early in pregnancy to determine whether the developing fetus has a genetic anomaly is called,amniocentesis,chorionic villus sampling,positron-emission tomography,insemination,ultrasound,Option A
Although Elizabeth’s seven-year-old son wants to stay up past his bedtime to watch a television special she insists that he go to bed at the usual time. She explains that he will be too tired to do well in school if he does not get his rest and she promises to record the show for him. Diana Baumrind’s classification for Elizabeth’s parenting style is which of the following?,Secure,Uninvolved,Authoritarian,Authoritative,Permissive,Option D
Which of the following statements about attachment is most accurate?,Childcare is unlikely to impact attachment as long as it is not of poor quality.,Fraternal twins are more similar in attachment than identical twins.,Only a minority of children are securely attached.,Infants with an initial disorganized attachment style typically become securely attached later in life.,Infants with an easy temperament are less likely to be securely attached than those with a difficult temperament.,Option A
The three behavioral styles identified by Alexander Thomas and Stella Chess in their early research on infant temperament are,sanguine melancholic choleric,easy difficult slow-to-warm-up,secure avoidant ambivalent,emotional sociable inhibited,introverted extroverted agreeable,Option B
Time out is a disciplinary technique that is based on the principles of,operant conditioning,classical conditioning,observational learning,information processing,habituation,Option A
A mother nags her son until he cleans his room. A few weeks later the son spontaneously cleans his room because he does not want to be nagged. The mother’s nagging is an example of,a positive reinforcer,a negative reinforcer,a vicarious reinforcer,vicarious punishment,negative punishment,Option B
Information-processing theorists argue that one of the major changes that takes place from two to five years of age is,an increase in the ability to form abstract thoughts and use logical reasoning,an increase in the complexity and power of working memory,a decrease in the complexity of schemata associated with everyday experiences,a decrease in fluid intelligence,a decrease in the storage capacity of long-term memory,Option B
Which occupation is best suited for an individual with a conventional personality in John Holland’s personality-type theory?,Poet,Scientist,Social worker,Bank teller,Business executive,Option D
Keisha politely asks her teacher to please pass her the scissors but at home demands that her little brother give them to her immediately. Keisha is demonstrating her understanding of which aspect of knowledge?,Phonology,Semantics,Syntax,Pragmatics,Overregularization,Option D
Which of the following is the symptom most closely associated with the early stages of Alzheimer’s disease?,Manic or depressive behavior,Sensory impairment,Loss of ability to walk,Loss of memory,Loss of reflexes,Option D
One of the major criticisms of the stages of dying identified by Elisabeth Kübler-Ross is that,there are too many stages in her theory,there are not enough stages in her theory,not everyone goes through the stages in the order she describes,she does not adequately suggest how people try to cope with each stage,the stages vary by sex,Option C
Instruction by teachers who employ Piagetian principles is most likely to be characterized by which of the following?,Use of lecture as the dominant form of instruction,Reliance on drill and repetition,Encouragement of active experimentation,Encouragement of private speech,Discouragement of group activities,Option C
Which of the following theorists advanced the concept of the identity crisis?,Jean Piaget,Sigmund Freud,Lev Vygotsky,B. F. Skinner,Erik Erikson,Option E
When Frank was a child he moved to a new house near a major airport. At first he was unable to sleep because of the loud noise created by the airplanes. Over time however he was no longer disturbed by the plane noise. A behaviorist would most likely describe the change in Frank’s behavior as which of the following?,Habituation,Superstition,Shaping,Operant conditioning,Response generalization,Option A
Five-year-old Sophia struggles to pronounce words with complex sounds such as “play” or “stay” pronouncing them as “pay” and “tay” instead. Sophia’s difficulty involves which component of language?,Morphology,Syntax,Pragmatics,Phonology,Semantics,Option D
According to Robert Sternberg’s triangular theory which of the following are the three major components of adult love?,Friendship .. compassion .. commitment,Commitment .. intimacy .. compassion,Intimacy .. commitment .. passion,Compassion .. friendship .. passion,Compassion .. infatuation .. intimacy,Option C
According to researchers ethnic identity or a sense of identifying with one’s own ethnic group,mostly occurs in adolescence,mostly occurs in older adulthood,stays the same throughout the life span,changes throughout the life span,is not important to overall positive developmental outcomes,Option D
Which of the following is the most commonly diagnosed among individuals in very late adulthood?,Schizophrenia,Dementia,Generalized anxiety disorder,Somatic symptom disorder,Seasonal affective disorder,Option B
A researcher compares church attendance between people born in the 1940s and people born in the 1960s. The groups of people are called,cohorts,confounds,control groups,reference groups,intervening variables,Option A
Eighteen-month-old Michael sees his mother about to put his juice away and he yells out “More juice!” Michael’s expression is an example of,a holophrase,receptive language,private speech,motherese,telegraphic speech,Option E
According to Janet Werker’s research the oldest age that children can discriminate phonemic differences in all languages is about,6–12 months,18–24 months,3–4 years,7–8 years,12–13 years,Option A
According to Lawrence Kohlberg parents can best foster their children’s moral development by,setting high expectations for moral behavior,promptly and consistently punishing their children’s misbehavior,providing models of moral behavior,providing positive reinforcement for appropriate moral decisions,exposing their children to more advanced moral reasoning by discussion of both sides of moral dilemmas,Option E
When there is an extremely weak relationship between two behavioral variables the correlation coefficient will be,much lower than zero,close to zero,close to +1,close to −1,much higher than +1,Option B
Two young boys sitting next to each other each drawing a separate picture with his own set of crayons are engaging in which type of play?,Cooperative,Independent,Parallel,Onlooker,Associative,Option C
Intelligence tests are most appropriately used to answer which of the following questions?,Should a student take honors courses?,Which approach to education is best to use with a student?,Is a student at risk for social rejection because of high intelligence?,Does a child have attention-deficit/hyperactivity disorder?,What are a student’s cognitive strengths and weaknesses?,Option E
What two developmental milestones occur around the age of one year?,Walking and speaking first words,Crawling and gesturing to communicate,Running and climbing on furniture,Throwing and catching a ball with two hands,Smiling and pulling to a stand,Option A
In the United States marital satisfaction is at its lowest at which stage of life?,Immediately following the wedding,Before children are born,When children are very young,When children leave home,Retirement,Option C
An infant who is fed a balanced diet yet is not gaining enough weight would most likely be diagnosed with,non-organic failure-to-thrive,marasmus,kwashiorkor,autism spectrum disorder,Trisomy 21,Option A
Drazen a child with attention-deficit/hyper-activity disorder (ADHD) and oppositional defiant disorder (ODD) is likely to be rated by his peers as being in which of the following peer status categories?,Average,Rejected aggressive,Rejected withdrawn,Neglected,Popular,Option B
Which of the following should Cheryl say to her son to encourage him to keep doing well in school?,“You’re doing so well; keep up your hard work.”,“You should be grateful to have such good teachers.”,“You have to be the best in your class at school.”,“This must be easy for someone as smart as you.”,“If you keep getting good grades on all your tests I’ll take you shopping.”,Option A
According to research on the Big Five model of personality which personality trait tends to increase for both men and women over their life spans?,Aggressiveness,Conscientiousness,Extraversion,Neuroticism,Openness,Option B
A parent who is teaching a child to write adjusts his level of support to match the child’s existing competence in writing. Which of the following concepts best describes the parent’s behavior?,Conservation,Egocentrism,Metacognition,Scaffolding,Priming,Option D
Both stunted growth and delayed menarche are strongly influenced by,lower-middle-class status,use of day care,malnutrition,a nuclear family structure,high protein intake,Option C
Which of the following findings is often cited as evidence for the evolutionary perspective?,Men’s reproductive capabilities last until later in life than women’s.,Young children engage in trial-and-error learning.,Children imitate the behaviors modeled by their parents.,Identical twins have more personality traits in common than fraternal twins do.,Token economies help maintain order in the classroom.,Option A
Which of the following can cause presbyopia?,Buildup of wax in the ear canal,Loss of hair cells in the inner ear,Hardening of the eye lens,Loss of retinal cells,Loss of ocular dominance columns,Option C
Paul harasses and humiliates other students calling them names and kicking them without provocation. Paul is exhibiting which of the following?,Instrumental aggression,Hostile aggression,Frustration aggression,Conventional morality,Stereotype threat,Option B
Steve is 63 years old and attends professional meetings and conferences. Though he used to focus on developing his expertise at the meetings he now directs his energy toward spending time with close colleagues rather than learning about advancements in his field. Which of the following theories best explains Steve’s shift in focus?,Programmed aging,Socioemotional selectivity,Psychodynamic,Social learning,Disengagement,Option B
Which of the following theories describes development as being dependent on the unconscious mind and early experiences with parents?,Ecological,Sociocultural,Evolutionary,Psychodynamic,Social cognitive,Option D
Which of the following is a basic emotion?,Depression,Optimism,Mania,Disgust,Empathy,Option D
Which research question would most likely be addressed by a developmental psychologist?,How does a person mentally rotate an image of a cube?,How do people perceive color?,Are changes in executive control of attention continuous or discontinuous?,Do nerve cells communicate using chemical or electrical messages?,How does relationship quality affect a person’s ability to cope with chronic illness?,Option C
Two seventh graders spend most of their time together talking about difficulties involving either their parents or their history class. These discussions bring them closer in friendship but their focus on negative aspects tends to lead to them both being more troubled. These students’ behavior is an example of,a clique,a dominance hierarchy,co-rumination,scaffolding,acculturation,Option C
The visual cliff was developed by Eleanor Gibson and R.D. Walk to study,depth perception,acuity,complex pattern recognition,habituation,object permanence,Option A
Every morning 4-year-old Marta watches her mother put on a suit pack a lunch and put her lunch and a briefcase by the front door while preparing for work. One day Marta wakes up puts on one of her mother’s suits puts snacks in a lunch bag and puts the lunch bag and a backpack at the front door. She runs to her mother and says “I’m ready for work!” Marta’s behavior can best be explained by which of the following theories?,Information processing,Humanism,Evolutionary,Social learning,Psychodynamic,Option D
Jorge is aware of his emotions and understands his personal strengths and weaknesses. Jorge appears to have high levels of which intelligence in Howard Gardner’s theory of multiple intelligences?,Interpersonal,Existential,Bodily-kinesthetic,Linguistic,Intrapersonal,Option E
Which of the following thinkers suggested that children are innately good?,Jean-Jacques Rousseau,John Locke,Alfred Binet,Sigmund Freud,John Watson,Not Provided
According to Freud ego,provides rational ways of coping with frustration,is driven by the quest for pleasure,is our moral base that seeks to force us to follow the rules,is biological and present at birth,prevents us from making rational decisions,Not Provided
Freud called his theory of child development,psychosocial,epigenetic,psychosexual,emergent,cognitive-behavioral,Not Provided
Erikson called a period of serious questioning and soul-searching,a paradox,unusual,unhealthy,an identity crisis,an inward quest,Not Provided
Johnny has been wetting the bed. A special pad is placed under him while he is sleeping. If the pad becomes wet a circuit closes causing a bell to ring. Johnny wakes up and finishes his urination by going to the bathroom. Over time Johnny stops wetting the bed altogether. This is an example of the application of what theory to treating bed-wetting?,Psychodynamic,Psychosocial,Cognitive,Learning,Social modeling,Not Provided
Albert Bandura is a,behaviorist,psychoanalyst,humanistic theorist,Neo-Freudian theorist,social cognitive theorist,Not Provided
Which of the following statements would be consistent with social cognitive theory?,Children internalize the traits of other people to form their identities.,Identification occurs as children imitate the behavior patterns of others.,Observational learning always occurs without thought or intention.,Traits are inherited and are not influenced by environmental events.,Identity is an inactive process that is geneti-cally based.,Not Provided
Which of the following theorists would be most interested in how children perceive and mentally represent the world?,Bandura,Skinner,Erikson,Piaget,Gardner,Not Provided
Ethology is an example of,a biologically oriented theory of development,a strict information processing approach to studying development,a stage theory for studying cognitive devel-opment,a behavioristic method for studying cognition,a moral view of development,Not Provided
Cross-cultural studies examine the effects of,mesosystems,exosystems,macrosystems,microsystems,inter-related systems,Not Provided
Dr. Manquero has the hypothesis that ingesting chocolate prior to an exam will improve exam performance. She gives half of her participants chocolate and the other half gum and then gives them an exam. In this experiment which is the experimental group?,The group that chews gum,The performance on the exam,The group that eats chocolate,There is no experimental group,Both groups could be considered the experimental groups,Not Provided
An experiment seeks to determine the influence of,the hypothesis on the subjects,the dependent variable on the independent variable,the experimental group on the control group,single-blind versus double-blind techniques,independent variable on the dependent variable,Not Provided
In an experiment subjects given various amounts of alcohol drive a course marked by orange pylons. The independent variable in this experiment is the,various amounts of alcohol consumed,subjects’ driving ability before alcohol consumption,subjects’ driving ability after alcohol consumption,orange pylons,individual subjects themselves,Not Provided
The repetition of an experiment by another experimenter at another time and place is called,duplication,replication,experimental review,repetition,copyright infringement,Not Provided
The first two weeks of prenatal development is called the,fetal stage,embryonic stage,germinal stage,zygotic stage,conceptual stage,Not Provided
Which of the following represents cephalocaudal development?,The fact that growth spreads outward from the spine,The fact that we tend to develop from the head down,The fact that inner organs grow faster than organs at the extremities,The fact that development starts with the sensory systems,Growth of the hands and feet,Not Provided
The amniotic sac,helps the developing fetus maintain an even temperature,provides nutrients to the developing fetus,filters germs and drugs away from the developing fetus,is present during only the first two trimes-ters of pregnancy,None of the above,Not Provided
Environmental agents that can harm the embryo or fetus are called,toxins,critical agents,teratogens,encephalons,reactive toxins,Not Provided
HIV CANNOT be transmitted by,sexual relations,blood transfusions,breast-feeding,shared needles,HIV CAN be transmitted all of these ways,Not Provided
Which of the following features is associated with fetal alcohol syndrome?,Smaller-than-average brain,Low levels of infant activity,Poor vision,Larger-than-average physical growth,Narrowly-spaced eyes,Not Provided
Polygenic traits,are transmitted by a single pair of genes,are uncommon in humans,are transmitted by the mother,are transmitted by combinations of pairs of genes,involve chromosomal abnormalities,Not Provided
Scientists took genetic material from one sheep to clone Dolly making her genetically identical to the other sheep from which she was cloned. Cloning uses the process of,mitosis,chromosomal replacement,autosome reproduction,meiosis,genetic evolution,Not Provided
If you change a baby’s position and its reaction is to arch its back fling its arms and legs out and then bring them back toward the chest what reflex has occurred?,Grasping reflex,Moro reflex,Palmar reflex,Rooting reflex,Parachute effect,Not Provided
Which of the following statements about visual tracking in the neonate is TRUE?,Many neonates can track all objects the first day after birth.,Several weeks of experience are required.,It is dependent on prenatal stimulation.,It will not be observed for several months after birth.,Certain forms of tracking may develop before others.,Not Provided
Newborns show preference for sounds,that are very low in pitch,that match their native language,that are always musical in nature,that match the rhythms of speech,that are high in pitch,Not Provided
In comparison to adults infants,show very different responses to tastes,prefer sour tastes significantly more,show a preference for things that do not taste like water,show a preference for sweet tastes,cannot taste much at all,Not Provided
Which of the following accurately describes what a toddler will do when confronted with a steep slope while walking?,He will adamantly refuse to go down it.,He usually will stop and crawl down the slope.,He cannot tell the difference and will try to walk down it usually falling down.,He cannot go down any slopes until about age 2.,He will immediately trip due to the shift in surface.,Not Provided
The greatest gains in visual acuity occur,from birth to 6 months,from 1 to 2 months,from 9 to 12 months,from 12 to 18 months,not until late childhood,Not Provided
Once motor development has been deprived,the damage can be improved with interven-tion,the damage is irreversible although minimal progress can be made,social and intellectual functioning will decline as well,primitive reflexes will prevail throughout life,None of the above,Not Provided
Improvement in memory probably indicates,reduced encoding of information,increased inefficiency in retrieving stored information,lower quality foods and a less nutritional diet,increased experiences with the environment,greater self-reflection,Not Provided
Which of the following is NOT a stage of cognitive development according to Piaget?,Sensorimotor,Hypothetical,Concrete operational,Preoperational,Formal operational,Not Provided
Piaget believed that,development is haphazard random and based on experience,cognitive developments are stage-based and universal,children learn in different sequences based on their environment,perception is too directly linked to sensation to separate the two,social and cognitive development occur in separate strands,Not Provided
An abstract generalized account of repeated events is called,a script,a chunk,a hierarchy,a semantic node,a narrative,Not Provided
Memory for events that happened in one’s life is called,hedonistic memory,egocentric memory,autobiographical memory,self-centered memory,semantic memory,Not Provided
With cognitive scaffolding,children are taught complex tasks so that easier ones are more readily understood,the guidance provided is decreased as the child becomes more skilled,the child becomes dependent upon the permanent help that is given,the amount of help given is increased as the child ages,children are taught according to the “lowest common denominator”,Not Provided
How questions are worded may influence whether the child can answer correctly. This is an example of a,heuristic,cardinal rule,demand characteristic,placebo effect,sociocultural bias,Not Provided
A preoperational child would assume that,taller glasses hold more than short glasses.,objects that are out of sight have ceased to exist.,subtraction is easier than addition.,substance comes before form.,operations are reversible in nature.,Not Provided
When does “pretend play” usually appear?,By about age 6 months,By about 9 months,By 12 to 18 months of age,Sometime early in the second year,By about age 36 months,Not Provided
A key component of information processing views of cognitive development includes,expansive attention,random retrieval processes,intuitive grasping of environmental cues,a limit on how much information can be stored in long-term memory,selective attention processes,Not Provided
Jimmy looks at his homework and decides he had better do math first because it always takes him longest. Jimmy is,using metacognition,poor at math,probably better on verbal tests,using a recognition strategy,an unusually self-aware child,Not Provided
Mean length of utterance refers to the,average number of words a child uses in a sentence,total number of sounds a child makes trying to express himself/herself,average number of letters in the child’s usual utterances,average number of morphemes a child uses in a sentence,average number of syllables a child uses in a sentence,Not Provided
A child learns to call a dog “bow-wow” and now calls all animals he sees “bow-wow.” This is an example of,telegraphic speech,over-extension,egocentric speech,morpheme,semantic categorization,Not Provided
Which of the following words is most likely to be found in early infant speech?,Pig,Sand,Sad,Go,Drink,Not Provided
When is the infant’s first word typically spoken?,By 8 months,By age 10 months,Between 11 and 13 months,Between 15 to 16 months,After 24 months,Not Provided
Vocalizations that do NOT represent objects or events are called,random,non-sensical,prelinguistic,paralinguistic,jargon,Not Provided
Grammar refers to,the number of syllables in a word that have meaning,which words make sense together in a sentence,the rules about how words should be pronounced,the diagramming of sentences,the rules of body language,Not Provided
Language development is,unpredictable,sequenced and step-like,highly dependent upon genetics,gender specific in timing,solely dependent on environmental factors,Not Provided
Which of the following theorists developed intelligence-testing methods at the turn of the twentieth century?,Simon,Binet,Spearman,Erikson,Stanford,Not Provided
If intelligence is capacity then achievement is,learning ability,genetic ability,attainment,environmentally determined,not ultimately necessary,Not Provided
Which of the following is NOT an aspect of intelligence according to Sternberg’s theory?,Analytical,Practical,Creative,Subjective,None of the above,Not Provided
When using the Binet-Simon scale what is meant by “Mental Age”?,How old the child is physically,The child’s ultimate predicted capacity for knowledge,How old the child will be before he/she reaches average intelligence,The age at which IQ can begin to be tested,The intellectual level at which the child is functioning,Not Provided
Mothers of securely attached infants,are less likely to be affectionate to their children,respond insensitively to their babies’ social behaviors,provide unpredictable caregiving,respond with excessive alarm when their children are upset,are in-tune with their babies and are predict-able caregivers,Not Provided
Which parent generally provides more opportu-nities for attachment bonding?,There is no difference.,Fathers because they play with the infants more.,Mothers because they provide significantly more basic care.,It varies greatly from culture to culture.,Mothers because they are culturally dic-tated to do so.,Not Provided
Which of the following is TRUE about Oko who is a 4-month old infant who appears withdrawn and depressed and is losing all interest in the world.,Oko may suffer from early onset schizo-phrenia.,Oko probably has severe neurological damage.,Oko may be the victim of social deprivation.,Oko may be displaying early signs of mental retardation.,Oko may be autistic.,Not Provided
A child observes another child acting unafraid in the presence of a stranger. The observing child likewise stops acting afraid of the stranger. This is an example of,social referencing,secure attachment,insecure attachment,activation of reflexes,classical conditioning,Not Provided
An individual’s distinctive ways of responding to people and events is called,temperament,personality,self-concept,genotype,identity,Not Provided
Which of the following is TRUE about toddler play?,They engage in complex interactive play.,They may imitate each other but often do not interact.,They do not imitate each other as they have not learned this yet.,They engage in simple interactive play.,Toddlers play only near adults as other children scare them at this stage.,Not Provided
Why might boys and girls show gender-stereo-typed toy and activity preferences?,There are possible biological factors,Parents may encourage this through toy purchases and actions,These differences are role-modeled through television and other media,Other children may encourage them,All of the above,Not Provided
Prosocial behavior is also sometimes referred to as,non-centrism,empathy,altruism,sympathy,moral action,Not Provided
Which of the following statements is TRUE about the connection between person-oriented aggression and cognitive development?,There is an inverse relationship; as children mature cognitively aggression diminishes.,There is a positive relationship; as children mature cognitively aggression tends to increase,aggression has been shown to be correlated more with social rather than cognitive development.,This relationship has not been studied therefore the question cannot be answered.,There is no relationship.,Not Provided
Parents are more likely to abuse,sick or unhealthy children,first born children,full-term infants,girls,boys,Not Provided
What attachment pattern would you expect in a non-familial perpetrator of sexual child abuse?,Secure,Insecure,Over-secure,Ambivalent,None of the above,Not Provided
Which of the following represents “regression” on the part of a sibling when another sibling is born?,Wanting to help mommy take care of the new baby,The younger sibling attempting to imitate the older sibling,The older child having toilet accidents even after having been potty trained,The older sibling wanting a little extra attention,The older sibling wanting to play alone,Not Provided
A self-reliant child is most likely to have been raised by,authoritarian parents,permissive parents,indulgent parents,authoritative parents,neo-authoritarian parents,Not Provided
Which of the following may enhance the success of early intervention programs?,Prior participation by siblings,Discontinuing the intervention upon entry into early elementary school,Selecting tutoring in place of family support,Inexperienced clinical staff members,The involvement of parents,Not Provided
What are the effects of television viewing by children?,It clearly has positive effects on impulse control.,It causes children to be more restless.,It stifles the imagination.,It probably depends on what shows are being watched.,It is detrimental to the child’s current course of study.,Not Provided
The more complex the child’s social cognitive capacity _____.,the more friends the child tends to make,the more complex the child’s perceptions of relationships may become,the more likely the child is to do whatever the parents ask,the more isolated the child feels,the more developed the child’s self-esteem is,Not Provided
Children who are depressed tend to interpret failures as,undeserved,external,specific,unstable,internal,Not Provided
Which of the following is NOT one of Selman’s five levels of perspective-taking skills in child-hood?,Egocentrism,Assume one perspective is right,Understand intention,Believe in universal rules,Understand perspective of the larger social group,Not Provided
According to Erikson middle-childhood children are in the _____ stage of psychosocial development.,industry vs. inferiority,initiative vs. guilt,trust vs. mistrust,dependence vs. independence,generativity vs. stagnation,Not Provided
What is the first stage of psychosocial develop-ment according to Erikson?,Initiative vs. guilt,Autonomy vs. shame and doubt,Trust vs. mistrust,Industry vs. inferiority,Intimacy vs. isolation,Not Provided
During which stage of development does the Oedipus complex occur?,Oral stage,Anal stage,Phallic stage,Latency stage,Genital stage,Not Provided
When do the greatest gains in identity formation occur?,During middle childhood,During junior high school,During high school,After marriage,During the college years,Not Provided
When we say that self-concept has become more “differentiated” what does this mean?,The adolescent has placed self-descriptors into a small number of categories,That self and self-esteem have become separated,That more categories have been added to one’s self-description,All of the above,None of the above,Not Provided
A six-day-old infant sucks on a nipple in order to eat. A psychologist would NOT view this as the result of learning because,it is a physical behavior,all forms of eating behaviors are unlearned,infants can’t learn,the behavior did not require any experience,this is a reflex,Not Provided
