front,back,Module,CLEP Trap
"According to Piaget's Cognitive Developmental Perspective, children learn by being _____.",Active constructors of knowledge.
"In attachment theory, what is the peak age for separation anxiety in infants?",8 to 18 months.
"In Mary Ainsworth's Strange Situation, an infant who ignores the mother upon her return is classified as _____.",Insecure-avoidant.
An infant who seeks comfort upon the mother's return but then angrily resists that comfort is showing _____ attachment.,Insecure-resistant (or Ambivalent).
What type of attachment is often associated with caregivers who are abusive or frightening?,Disorganized attachment.
James Marcia’s identity status where an individual has committed to an identity without exploring options is called _____.,Foreclosure.
James Marcia’s identity status where an individual is actively exploring identities but has not yet committed is called _____.,Moratorium.
"According to Baumrind, which parenting style is characterized by high warmth and high demandingness (rules)?",Authoritative.
Which parenting style is associated with children who are obedient but anxious and have low self-esteem?,Authoritarian.
Which parenting style is characterized by high warmth but very few rules or demands?,Permissive.
What are the five stages of grief identified by Elisabeth Kübler-Ross?,"Denial, Anger, Bargaining, Depression, and Acceptance."
What is the most common form of child maltreatment reported to authorities?,Neglect.
"Thomas and Chess's term for a child who is irregular in habits, negative in mood, and slow to adapt is a _____ child.",Difficult.
A baby who initially withdraws from new situations but eventually adapts with repeated exposure is classified as _____.,Slow-to-warm-up.
At what age do children typically show self-recognition in the 'mirror test'?,18 to 24 months.
The ability of a child to look at their parent's emotional expression to decide how to react to a new situation is called _____.,Social referencing.
What federal program was established in 1965 to provide early education and health services to low-income preschoolers?,Head Start.
Which type of aggression involves harming others through social manipulation or exclusion?,Relational (or Social) aggression.
"According to the DSM-5, ADHD symptoms must be present before what age for a diagnosis?",Age 12.
What are the two core feature categories of Autism Spectrum Disorder (ASD)?,Social communication deficits and restricted/repetitive behaviors.
What is the specific learning disability that affects a person's ability to read?,Dyslexia.
"In the context of resilience, what is a primary protective factor for children in high-risk environments?",A secure attachment to at least one stable caregiver.
Which type of play involves children playing near each other with similar materials but not interacting?,Parallel play.
A child who understands that their gender will not change even if they wear different clothes has achieved _____.,Gender constancy.
"In Kohlberg’s theory, a person who breaks a law because it violates a universal human right is at the _____ level.",Postconventional.
What is the name for the AXON coating that speeds up neural transmission in the developing brain?,Myelin (or the Myelin sheath).
"In research, what is the 'cohort effect'?",Differences between groups caused by being born in different time periods rather than age itself.
"According to Piaget, the 'A-not-B error' is a sign that an infant's object permanence is _____.",Incomplete or still developing (typical at 8-12 months).
Which sensory system is functional at birth but reaches adult-like acuity (20/20) at approximately 6 months?,Vision.
What is the term for the first occurrence of menstruation in girls?,Menarche.
"A researcher studying the same group of children at ages 5, 10, and 15 is using a _____ design.",Longitudinal.
"In operant conditioning, 'negative punishment' involves _____ a pleasant stimulus to decrease a behavior.",Removing.
"Which theorist is known for the concept of 'Reciprocal Determinism' involving person, behavior, and environment?",Albert Bandura.
The 'Zone of Proximal Development' describes the distance between actual development and _____ development.,Potential.
Which prenatal stage ends with the implantation of the blastocyst into the uterine wall?,The Germinal stage.
What is the term for a child's understanding that others have beliefs and desires different from their own?,Theory of Mind.
