front,back,Module,CLEP Trap
Positive Reinforcement,"Increasing behaviors by presenting positive stimuli (e.g., a treat).",Module 5: Learning,CLEP Trap: Add something good to keep behavior going.
Negative Reinforcement,"Increasing behaviors by stopping or reducing negative stimuli (e.g., stopping an alarm).",Module 5: Learning,HUGE TRAP: This is NOT punishment. It increases behavior by removing something bad.
Variable-Ratio Schedule,Reinforcement schedule that reinforces a response after an unpredictable number of responses.,Module 5: Learning,"CLEP Trap: This is the ""Gambling"" schedule (Slot machines). It is the hardest to extinguish."
Observational Learning,Learning by observing others.,Module 5: Learning,CLEP Trap: Key name: Albert Bandura and the Bobo Doll experiment.
Implicit Memory,"Retention independent of conscious recollection (e.g., motor skills).",Module 6: Cognition,CLEP Trap: Also called Procedural Memory. Processed in the Cerebellum.
Explicit Memory,"Memory of facts and experiences that one can consciously know and ""declare.""",Module 6: Cognition,CLEP Trap: Also called Declarative Memory. Processed in the Hippocampus.
Proactive Interference,The disruptive effect of prior learning on the recall of new information.,Module 6: Cognition,"CLEP Trap: ""Old blocks New."" (e.g., calling your new boyfriend your ex's name)."
Retroactive Interference,The disruptive effect of new learning on the recall of old information.,Module 6: Cognition,"CLEP Trap: ""New blocks Old."" (e.g., forgetting your old phone number because of your new one)."
Heuristic,A simple thinking strategy that often allows us to make judgments and solve problems efficiently.,Module 6: Cognition,CLEP Trap: Fast but error-prone. Contrast with Algorithm (slow but 100% accurate).
Confirmation Bias,A tendency to search for information that supports our preconceptions and to ignore contradictory evidence.,Module 6: Cognition,CLEP Trap: This is the most common barrier to rational thinking.
Phoneme vs. Morpheme,Phoneme = Smallest unit of sound; Morpheme = Smallest unit of meaning.,Module 6: Cognition,"CLEP Trap: ""Pre"" in ""Preview"" is a morpheme. The ""Ch"" sound in ""Chat"" is a phoneme."
Drive-Reduction Theory,Idea that a physiological need creates an aroused tension state (a drive) that motivates an organism to satisfy the need.,Module 7: Motivation,CLEP Trap: The goal is Homeostasis (internal balance).
James-Lange Theory,Experience of emotion is our awareness of our physiological responses to emotion-arousing stimuli.,Module 7: Motivation,"CLEP Trap: ""I'm trembling, so I must be afraid."" (Action -> Emotion)."
Cannon-Bard Theory,Emotion-arousing stimulus simultaneously triggers (1) physiological responses and (2) the subjective experience of emotion.,Module 7: Motivation,CLEP Trap: Everything happens at the same time. (Action + Emotion).
Schachter-Singer Two-Factor,To experience emotion one must (1) be physically aroused and (2) cognitively label the arousal.,Module 7: Motivation,"CLEP Trap: Requires a ""Thinking"" step. You must label your racing heart as ""fear"" or ""excitement."""
Object Permanence,Awareness that things continue to exist even when not perceived.,Module 8: Development,CLEP Trap: Milestone of the Sensorimotor stage (0-2 years).
Conservation,Principle that properties like mass/volume remain the same despite changes in form.,Module 8: Development,CLEP Trap: Milestone of the Concrete Operational stage. (7-11 years).
Egocentrism,Preoperational child's difficulty taking another's point of view.,Module 8: Development,"CLEP Trap: Part of the Preoperational stage. Not selfishness, just cognitive inability."
Authoritative Parenting,Parenting style that is both demanding and responsive.,Module 8: Development,"CLEP Trap: This is the ""Best"" style. Demanding but explains why."
Erikson: Identity vs. Role Confusion,Teenagers work at refining a sense of self by testing roles.,Module 8: Development,CLEP Trap: The main conflict of Adolescence.
Kohlberg: Postconventional,Moral reasoning based on self-defined ethical principles.,Module 8: Development,CLEP Trap: The highest level of morality. Focuses on universal justice over laws.
Fluid Intelligence,Ability to reason speedily and abstractly; tends to decrease during late adulthood.,Module 8: Development,"CLEP Trap: Think ""Problem Solving."" It's what goes down as you get older."
"Id, Ego, Superego",Id = Pleasure; Superego = Morality; Ego = Reality (The mediator).,Module 9: Personality,CLEP Trap: The Id is completely unconscious. The Ego works in the conscious mind.
Projective Test,A personality test that provides ambiguous stimuli designed to trigger projection of one's inner dynamics.,Module 9: Personality,CLEP Trap: Examples: Rorschach (Inkblot) and TAT. Very subjective.
Big Five (OCEAN),"Openness, Conscientiousness, Extraversion, Agreeableness, Neuroticism.",Module 9: Personality,CLEP Trap: Currently the most widely accepted trait theory.
Self-Efficacy,One’s sense of competence and effectiveness.,Module 9: Personality,CLEP Trap: Key name: Albert Bandura. Different from self-esteem (worth).
Generalized Anxiety Disorder,"An anxiety disorder in which a person is continually tense, apprehensive, and in a state of autonomic nervous system arousal.",Module 10: Disorders,"CLEP Trap: The anxiety is ""free-floating""—there is no specific cause."
Obsessions vs. Compulsions,Obsessions = Repetitive thoughts; Compulsions = Repetitive actions.,Module 10: Disorders,CLEP Trap: The actions are done to reduce the anxiety of the thoughts.
Schizophrenia,"Disorder characterized by delusions, hallucinations, disorganized speech, and/or inappropriate emotional expression.",Module 10: Disorders,CLEP Trap: Too much Dopamine is the suspected biological cause.
Antisocial Personality,"Person exhibits a lack of conscience for wrongdoing, even toward friends/family.",Module 10: Disorders,CLEP Trap: They are often charming and intelligent but have zero remorse (Sociopath).
Systematic Desensitization,Type of exposure therapy that associates a pleasant relaxed state with gradually increasing anxiety-triggering stimuli.,Module 11: Treatment,CLEP Trap: Based on Classical Conditioning. Used mostly for Phobias.
Cognitive-Behavioral Therapy,Popular integrative therapy that combines cognitive therapy (changing self-defeating thinking) with behavior therapy.,Module 11: Treatment,CLEP Trap: The most common/effective therapy for Depression and Anxiety.
Fundamental Attribution Error,"Tendency for observers, when analyzing another’s behavior, to underestimate the impact of the situation and to overestimate the impact of personal disposition.",Module 12: Social,"CLEP Trap: We do this to others. When we do it to ourselves, it's the Self-Serving Bias."
Foot-in-the-Door Phenomenon,Tendency for people who have first agreed to a small request to comply later with a larger request.,Module 12: Social,"CLEP Trap: If you get them to say ""yes"" once, they are likely to say ""yes"" again."
Cognitive Dissonance,Theory that we act to reduce the discomfort we feel when two of our thoughts are inconsistent.,Module 12: Social,"CLEP Trap: We usually change our attitudes to match our actions (e.g., ""I smoke, but it's not that bad"")."
Social Loafing,Tendency for people in a group to exert less effort when pooling their efforts toward attaining a common goal.,Module 12: Social,CLEP Trap: Only happens when people aren't held individually accountable.
Deindividuation,Loss of self-awareness and self-restraint occurring in group situations that foster arousal and anonymity.,Module 12: Social,"CLEP Trap: Think ""Mob Mentality."" Wearing a mask or being in a large crowd makes this worse."
