Question,Option A,Option B,Option C,Option D,Option E,Answer
Valium is which of the following?,Sedative,Narcotic,Stimulant,Hallucinogen,Cannabis,A
What is the school of thought that studies and observes behavior?,Cognitive,Behavioral,Biological,Psychoanalytical,Humanistic,B
Which area of the brain is related to hearing?,Occipital lobe,Temporal lobe,Frontal lobe,Parietal lobe,Cerebral cortex,B
Which area of the brain is related to intelligence?,Occipital lobe,Temporal lobe,Frontal lobe,Parietal lobe,Cerebral cortex,C
This part of the eye protects and manages its shape?,Sclera,Iris,Pupil,Cornea,Lens,A
is a clear membrane in front of the eye.,Sclera,Iris,Pupil,Cornea,Lens,D
is a ring of muscles that make up the colored part of the eye.,Sclera,Iris,Pupil,Cornea,‘Lens,B
The part of the eye that looks black and is the opening of the iris is called,Sclera,Iris,Pupil,Cornea,dens,C
The is at the back of the eye and is light sensitive.,Sclera,Iris,Pupil,Cornea,Retina,E
Circadian rhythms complete,Every 24 hours,Every day,Every 28 days,Less than 24 hours,None of the above,A
Infradian rhythms complete,Every 24 hours,Longer than 24 hours,Every 28 days,Less than 24 hours,None of the above,B
Which of the following is NOT one of the six primary emotions?,Sadness,Happiness,Pear,Surprise,Anxiety,E
Which area is the largest part of the brain?,Occipital lobe,Temporal lobe,Frontal lobe,Hypothalamus,Cerebral cortex,E
If you need to study the long-term effects of smoking which of the following  would you use?,Case study,Longitudinal study,Survey,Experiment,Naturalistic observation,B
Which area of the brain is related to vision?,Occipital lobe,Temporal lobe,Frontal lobe,Parietal lobe,Cerebral cortex,A
is also known as borderline personality disorder.,Anorexia nervosa,Bulimia nervosa,Schizophrenia,Histrionic personality,Somatoform disorder,D
Which part of the brain is responsible for storing memories?,Occipital lobe,Temporal lobe,Hippocampus,Parietal lobe,Cerebral cortex,C
When a person experiences real biological symptoms that cannot be explained by  any medical means it is called,Anorexia nervosa,Bulimia nervosa,Schizophrenia,Histrionic personality,Somatoform disorder,E
Which of the following are narcotics?,Peyote,"Codeine  Cy ESD  D) Advil  E) None of the above  The correct answer is B:) Codeine. Codeine is a narcotic, which is any drug derived  from opium.  54) Women’s menstrual cycles complete  A) Every 24 hours  B) Every day",Every 28 days,Less than 24 hours,None of the above,C
Marijuana is which of the following?,Sedative,Narcotic,Stimulant,Hallucinogen,Cannabis,E
In Maslow’s hierarchy of needs if you are in the third stage you are experiencing  which need?,Safety,Food,Respect from others,Love,Realized full potential,D
In Maslow’s hierarchy of needs if you are in the fourth stage you are experiencing  which need?,Safety,Food,Respect from others,Love,Realized full potential,C
Which of the following measures muscle activity?,Electroencephalographs,Electromyographs,Electrooculographs,Electrocardiographs,None of the above,B
Heroin is which of the following?,Sedative,Narcotic,Stimulant,Hallucinogen,Cannabis,B
Which of the following measures heart activity?,Electroencephalographs,Electromyographs,Electrooculographs,Electrocardiographs,None of the above,D
Which type of conditioning reinforces good behavior?,Operant conditioning,Extinction,Classical conditioning,Aversion therapy,None of the above,A
What is the process of removing the condition with the response?,Operant conditioning,Extinction,Classical conditioning,Aversion therapy,None of the above,B
Auditory sensory memory is called,Iconic memory,Echoic memory,Short-term memory,Chunking,Encoding,C
Which area of the brain is related to body sensations?,Occipital lobe,Temporal lobe,Frontal lobe,Parietal lobe,Cerebral cortex,D
When information is processed it is called,Iconic memory,Echoic memory,Short-term memory,Chunking,Encoding,E
When you have one or more pauses in breathing or shallow breaths while you  sleep it is called sleep,Walking,Talking,Snoring,Apnea,Encoding,D
What is the difference made to one’s mind by the process of assimilation?,Assimilation,Accommodation,Classification,Stage,Recall,B
Which of the following is a stimulant?,Cocaine,Beer,Wine,Cannabis,None of the above,A
The system houses the structures for memory and emotion.,Occipital,Temporal,Hippocampus,Limbic,Cerebral,D
What is the ability to group objects together on the basis of common features?,Assimilation,Accommodation,Classification,Stage,Recall,C
What is a period in a child’s development in which he or she is capable of under-  standing some things but not others?,Assimilation,Accommodation,Classification,Stage,Recall,D
What is the process of working something out in your head?,Egocentrism,Elaboration,Operation,Recognition,Conservation,C
Which of the following was a psychoanalyst?,Harry Harlow,Mary Ainsworth,Sigmund Freud,Jean Piaget,Lawrence Kohlberg,C
