"Module 1 Basic Economic Concepts","Law of supply","Ceteris paribus, as price rises, quantity supplied rises; as price falls, quantity supplied falls","Higher corn prices induce farmers to plant more corn","Students call movement along supply curve an 'increase in supply' when only price changed","Direct relationship between price and quantity supplied"
"Module 1 Basic Economic Concepts","Market equilibrium","Price and quantity at which quantity demanded equals quantity supplied","At $5 per unit, buyers want 100 units and sellers supply 100 units","Students think equilibrium is 'fair' or 'socially optimal'; it's just where Qd = Qs","Qd = Qs"
"Module 1 Basic Economic Concepts","Shortage","Quantity demanded exceeds quantity supplied at a price below equilibrium","Price of $3 when equilibrium is $5 leads to more buyers than sellers","Often mislabeled as surplus because price is 'low'; must compare Qd and Qs","Qd > Qs at given price"
"Module 1 Basic Economic Concepts","Surplus","Quantity supplied exceeds quantity demanded at a price above equilibrium","Price of $7 when equilibrium is $5 leaves unsold inventory","Students reverse shortage and surplus definitions if they focus only on price level","Qs > Qs at given price"
"Module 1 Basic Economic Concepts","Price ceiling","Legal maximum price; if set below equilibrium it is binding and creates a shortage","Rent control that caps rent below market rate","Students confuse which control causes shortage; it's the binding ceiling, not floor","Binding ceiling: Pc < Pe → shortage"
"Module 1 Basic Economic Concepts","Price floor","Legal minimum price; if set above equilibrium it is binding and creates a surplus","Minimum wage set above equilibrium wage causing excess labor supplied","Students often claim floors cause shortages; binding floors cause surpluses","Binding floor: Pf > Pe → surplus"
"Module 1 Basic Economic Concepts","Determinants of demand","Non-price factors that shift demand: income, tastes, prices of related goods, expectations, number of buyers","An increase in consumer income shifts demand for new cars to the right","Students treat a change in the good's own price as a demand shifter instead of a movement along the curve","N/A"
"Module 1 Basic Economic Concepts","Determinants of supply","Non-price factors that shift supply: input costs, technology, taxes/subsidies, expectations, number of sellers","A rise in oil prices raises production costs and shifts supply of plastic goods left","Students confuse shifts with movements caused solely by price changes","N/A"
"Module 1 Basic Economic Concepts","Tariffs and quotas","Tariffs are taxes on imports; quotas are limits on quantity of imports; both reduce imports and raise domestic prices","A tariff on imported steel raises its price, boosting domestic producers but raising costs for steel users","Students forget that tariffs and quotas typically create deadweight loss and can provoke retaliation","N/A"
"Module 2 Measurement of Economic Performance","Term","Definition","Example","CLEP Trap","Related Formula/Relationship"
"Module 2 Measurement of Economic Performance","Gross Domestic Product (GDP)","Market value of all final goods and services produced within a country's borders in a given time period","Cars, software, and haircuts produced in the US this year are included in US GDP","Students include intermediate goods or transfer payments like Social Security as part of GDP when they should be excluded","GDP = C + I + G + (X − M)"
"Module 2 Measurement of Economic Performance","Expenditure approach to GDP","Method of calculating GDP by summing spending on final goods and services by households, firms, government, and net exports","Adding up consumer spending, business investment, government purchases, and net exports","Confusing investment with stock purchases; in GDP, investment is business capital, new housing, inventories","GDP = C + I + G + (X − M)"
"Module 2 Measurement of Economic Performance","Investment (in GDP)","Spending on capital goods, new residential construction, and changes in inventories","A firm buys new machines and a developer builds a new apartment building","Students confuse financial investment (stocks, bonds) with real investment counted in GDP","Part of I in GDP formula"
"Module 2 Measurement of Economic Performance","Nominal GDP","Value of all final goods and services produced measured at current-year prices","If prices double and output stays the same, nominal GDP doubles","Students think rising nominal GDP always means more output, ignoring inflation","N/A"
"Module 2 Measurement of Economic Performance","Real GDP","Value of all final goods and services produced measured in base-year prices, adjusting for inflation","Using 2015 prices to value output in 2024 to compare real output over time","Students confuse real GDP with GDP per capita or think it's unadjusted","Real GDP = (nominal GDP / GDP deflator) * 100"
"Module 2 Measurement of Economic Performance","GDP deflator","Price index measuring average price of all goods and services in GDP","If nominal GDP is 1100 and real GDP is 1000, deflator = 110","Students mix up CPI and GDP deflator or apply CPI basket formulas to GDP deflator questions","GDP deflator = (nominal GDP / real GDP) * 100"
"Module 2 Measurement of Economic Performance","Price index","Index number showing how the average price of a basket changes over time relative to a base year","CPI of 125 means prices are 25 percent higher than in base year on average","Forgetting to divide by base-year cost before multiplying by 100","Price index = (current basket cost / base-year basket cost) * 100"
"Module 2 Measurement of Economic Performance","Inflation rate","Percentage change in the price index between two periods","If CPI rises from 100 to 110, inflation is 10 percent","Students subtract indices but forget to divide by the earlier index, treating difference as percent","Inflation = (Index2 − Index1) / Index1 * 100"
"Module 2 Measurement of Economic Performance","Consumer Price Index (CPI)","Price index that measures the cost of a fixed market basket of consumer goods and services over time","CPI tracks average cost of typical urban consumer's basket of goods","Students apply CPI to all price-level questions, ignoring that GDP deflator covers all domestic production","CPI = (current basket cost / base-year basket cost) * 100"
"Module 2 Measurement of Economic Performance","Labor force","Total number of people employed plus unemployed who are actively seeking work","A retired person is not in the labor force; a job seeker sending applications is","Students include discouraged workers who have stopped looking in the labor force","Labor force = employed + unemployed"
"Module 2 Measurement of Economic Performance","Unemployment rate","Percentage of labor force that is unemployed and actively seeking work","If 5 million unemployed out of 50 million labor force, unemployment rate is 10 percent","Students use total population instead of labor force in denominator","Unemployment rate = (unemployed / labor force) * 100"
"Module 2 Measurement of Economic Performance","Frictional unemployment","Short-term unemployment as workers move between jobs or enter/reenter the labor force","A new college graduate searching for their first job","Students label all unemployment in good times as structural instead of frictional","N/A"
"Module 2 Measurement of Economic Performance","Structural unemployment","Unemployment due to mismatch between workers' skills and job requirements","Factory workers displaced by automation lacking skills for new tech jobs","Confused with cyclical unemployment during recessions","N/A"
"Module 2 Measurement of Economic Performance","Cyclical unemployment","Unemployment caused by downturns in the business cycle, when aggregate demand is low","Workers laid off during a recession because firms cut production","Students think any unemployment is structural; cyclical falls during expansions","N/A"
"Module 2 Measurement of Economic Performance","Natural rate of unemployment","Unemployment rate when economy is at full employment, including frictional and structural but not cyclical unemployment","In many economies, often around 4–6 percent depending on structure","Students believe natural rate is zero; frictional and structural unemployment always exist","Natural rate = frictional + structural unemployment"
"Module 2 Measurement of Economic Performance","Business cycle","Short-run fluctuations in real GDP around the long-run trend: expansion, peak, recession, trough","A multi-year pattern where GDP grows, peaks, then contracts in a recession","Students confuse business cycle (short-run) with long-run growth trend","N/A"
"Module 2 Measurement of Economic Performance","Demand-pull inflation","Inflation caused by increases in aggregate demand that push prices up","Government stimulus increases AD causing both higher price level and output in short run","Often confused with cost-push inflation; must identify which curve shifts (AD vs SRAS)","AD shifts right"
"Module 2 Measurement of Economic Performance","Cost-push inflation","Inflation caused by decreases in short-run aggregate supply due to rising production costs","An oil price spike shifts SRAS left, raising prices and lowering output","Students misidentify this as an AD shift when the cost side is changing","SRAS shifts left"
"Module 2 Measurement of Economic Performance","Stagflation","Combination of high inflation and high unemployment typically caused by a negative supply shock","1970s oil shocks led to rising prices and rising unemployment","Students assume inflation and unemployment always move opposite because of Phillips curve","Linked to SRAS shifting left"
"Module 3 National Income and Price Determination","Term","Definition","Example","CLEP Trap","Related Formula/Relationship"
"Module 3 National Income and Price Determination","Aggregate demand (AD)","Total demand for goods and services at various price levels; sum of C, I, G, and net exports","Increase in government spending shifts AD right, raising real GDP and price level in short run","Students treat AD like individual market demand rather than economy-wide demand","AD = C + I + G + (X − M)"
"Module 3 National Income and Price Determination","AD slope explanations","AD slopes downward due to wealth effect, interest rate effect, and net export effect","Higher price level reduces real wealth, discourages spending, and raises interest rates","Students wrongly use substitution effect to explain AD slope (micro concept)","N/A"
"Module 3 National Income and Price Determination","AD shifters","Changes in consumption, investment, government spending, or net exports that shift AD","Increase in consumer confidence raises C, shifting AD right","Students confuse movement along AD from price change with shifts due to non-price factors","N/A"
"Module 3 National Income and Price Determination","Short-run aggregate supply (SRAS)","Relationship between price level and real output supplied when some input prices are sticky","Firms increase output when price level rises because nominal wages lag behind","Students think SRAS is vertical like LRAS; in short run it slopes upward","N/A"
"Module 3 National Income and Price Determination","SRAS shifters","Changes in input prices, productivity, business taxes/subsidies, and supply shocks shift SRAS","A wage increase shifts SRAS left as production becomes more costly","Misidentifying AD shifts (spending changes) as SRAS shifts (cost changes)","N/A"
"Module 3 National Income and Price Determination","Long-run aggregate supply (LRAS)","Vertical line at potential output showing economy's full-employment real GDP when prices and wages are fully flexible","More capital and better technology shift LRAS right, increasing potential GDP","Students think changes in price level shift LRAS; only real resource and technology changes do","N/A"
"Module 3 National Income and Price Determination","Macroeconomic equilibrium","Short-run equilibrium at intersection of AD and SRAS, determining actual output and price level","AD and SRAS intersect at real GDP below LRAS, indicating recessionary gap","Students confuse short-run equilibrium (AD–SRAS) with long-run equilibrium (AD–SRAS–LRAS intersection)","N/A"
"Module 3 National Income and Price Determination","Recessionary gap","When actual real GDP is less than potential output; unemployment above natural rate","AD and SRAS intersect left of LRAS, GDP below full-employment level","Students misclassify a high price level as an inflationary gap even if output is below potential","Yactual < Ypotential"
"Module 3 National Income and Price Determination","Inflationary gap","When actual real GDP is greater than potential output; unemployment below natural rate","AD and SRAS intersect right of LRAS, GDP above sustainable long-run level","Looking only at inflation and ignoring that output is above potential can confuse gap type","Yactual > Ypotential"
"Module 3 National Income and Price Determination","Marginal propensity to consume (MPC)","Fraction of additional income that households spend on consumption","If income rises by $100 and consumption rises by $80, MPC = 0.8","Students choose MPC and MPS values that don't sum to 1, leading to wrong multipliers","MPC = ΔC / ΔY"
"Module 3 National Income and Price Determination","Marginal propensity to save (MPS)","Fraction of additional income that households save","If income rises by $100 and saving rises by $20, MPS = 0.2","Forgetting that MPC + MPS must equal 1 causes inconsistent calculations","MPS = ΔS / ΔY"
"Module 3 National Income and Price Determination","Spending multiplier","Factor by which an initial change in spending results in larger change in equilibrium GDP","With MPC = 0.75, multiplier = 4; $10b more G → up to $40b more GDP","Students invert formula or use total consumption instead of MPC","Multiplier = 1 / (1 − MPC)"
"Module 3 National Income and Price Determination","Tax multiplier","Change in equilibrium GDP resulting from a change in taxes, smaller in magnitude than spending multiplier","With MPC = 0.75, tax multiplier = −3; $10b tax cut → up to $30b more GDP","Students forget sign; tax multiplier is negative because taxes move opposite of GDP","Tax multiplier = −MPC / (1 − MPC)"
"Module 3 National Income and Price Determination","Crowding out","Reduction in private investment caused by higher interest rates from increased government borrowing","Government deficit financing pushes up interest rates, discouraging business investment","Students assume government spending always fully boosts GDP; crowding out can limit effect","N/A"
"Module 3 National Income and Price Determination","Automatic stabilizers","Budget components that automatically adjust with economic conditions, helping smooth the business cycle","Progressive income taxes and unemployment insurance increase deficits in recessions without new laws","Students label one-time stimulus bills as automatic; those are discretionary policies","N/A"
"Module 3 National Income and Price Determination","Discretionary fiscal policy","Deliberate changes in government spending or taxation passed by policymakers to affect AD","Congress passes a new infrastructure bill to fight recession","Students confuse automatic changes in tax revenue with discretionary action requiring legislation","N/A"
"Module 4 Financial Sector","Term","Definition","Example","CLEP Trap","Related Formula/Relationship"
"Module 4 Financial Sector","Functions of money","Three roles of money: medium of exchange, unit of account, and store of value","Using dollars to buy groceries (medium), compare values (unit), and save purchasing power (store)","Students add 'measure of wealth' as a function; it is not one of the three core functions","N/A"
"Module 4 Financial Sector","M1 money supply","Most liquid forms of money: currency in circulation plus checkable (demand) deposits and traveler's checks","Cash in your wallet and balance in checking account","Students include savings accounts and large time deposits, which are in M2, not M1","N/A"
"Module 4 Financial Sector","M2 money supply","Broader measure including M1 plus savings deposits, small time deposits, and some money market funds","Savings account plus checking account plus small certificates of deposit","Confusing M1 and M2 on exam questions about liquidity","N/A"
"Module 4 Financial Sector","Fractional reserve banking","System in which banks keep only a fraction of deposits as reserves and lend out the rest","Bank holds 10 percent of deposits in reserve and loans out 90 percent","Students assume banks must hold 100 percent of deposits, missing the money creation mechanism","N/A"
"Module 4 Financial Sector","Required reserve ratio (rr)","Fraction of deposits banks are required by regulation to hold as reserves","If rr is 0.1, bank must hold $10 of every $100 deposit as reserves","Students forget to convert percentage to decimal when using in formulas","N/A"
"Module 4 Financial Sector","Simple money multiplier","Maximum potential increase in money supply from a new deposit given the reserve ratio","If rr = 0.1, multiplier = 10; $100 new reserves could support $1000 additional deposits","Using excess reserves instead of total rr or inverting rr incorrectly","Money multiplier = 1 / rr"
"Module 4 Financial Sector","Money market","Market in which the supply and demand for money determine the nominal interest rate","Increase in money supply shifts vertical MS right and lowers nominal interest rates","Students confuse this with loanable funds market, which uses real interest rate and different curves","N/A"
"Module 4 Financial Sector","Loanable funds market","Market where savers supply and borrowers demand funds, determining real interest rate","Government deficit increases demand for loanable funds, raising real interest rate","Students use nominal instead of real rate when interpreting this graph","N/A"
"Module 4 Financial Sector","Open market operations","Central bank's buying or selling of government bonds to change the money supply","Fed buys bonds from banks, increasing reserves and money supply","Students often reverse effects: buying bonds is expansionary, selling is contractionary","Buy bonds → MS↑; Sell bonds → MS↓"
"Module 4 Financial Sector","Discount rate","Interest rate the central bank charges commercial banks for loans","Fed lowers discount rate to encourage banks to borrow reserves","Overemphasis on discount rate; in practice open market operations are primary tool","N/A"
"Module 4 Financial Sector","Real interest rate","Nominal interest rate adjusted for inflation, reflecting true cost of borrowing in purchasing power terms","If nominal rate is 7 percent and inflation is 3 percent, real rate ≈ 4 percent","Students forget to subtract inflation or mistakenly add it","Real interest ≈ nominal interest − inflation"
"Module 4 Financial Sector","Quantity theory of money","Theory stating that, with stable velocity and real output, changes in money supply lead to proportional changes in price level","If M doubles while V and Q stay constant, P roughly doubles","Students think increasing money supply raises real GDP indefinitely; long run mainly affects prices","M * V = P * Q"
"Module 5 Inflation Unemployment and Stabilization","Term","Definition","Definition","CLEP Trap","Related Formula/Relationship"
"Module 5 Inflation Unemployment and Stabilization","Fiscal policy","Use of government spending and taxation to influence aggregate demand and stabilize the economy","Increasing infrastructure spending or cutting income taxes to fight recession","Students mix fiscal tools (G and T) with monetary tools (money supply, interest rates)","N/A"
"Module 5 Inflation Unemployment and Stabilization","Expansionary fiscal policy","Increase in government spending and/or decrease in taxes to increase AD and close a recessionary gap","Government passes a stimulus package that boosts G and cuts T","Assuming full multiplier impact without considering crowding out or import leakages","Shifts AD right"
"Module 5 Inflation Unemployment and Stabilization","Contractionary fiscal policy","Decrease in government spending and/or increase in taxes to reduce AD and fight inflation","Government raises taxes and cuts military spending in an overheated economy","Students reverse direction of G and T in describing contractionary policies","Shifts AD left"
"Module 5 Inflation Unemployment and Stabilization","Monetary policy","Central bank actions that change the money supply and interest rates to influence AD","Fed buys bonds to increase money supply and lower interest rates","Students attribute changes in taxes or government spending to the central bank instead of legislature","N/A"
"Module 5 Inflation Unemployment and Stabilization","Expansionary monetary policy","Policies that increase money supply and lower interest rates to stimulate investment and AD","Fed buys bonds, reducing interest rates and encouraging borrowing","Students think lower interest rates always strengthen currency; actually lower real rates can cause depreciation","MS↑ → i↓ → I↑ → AD↑"
"Module 5 Inflation Unemployment and Stabilization","Contractionary monetary policy","Policies that decrease money supply and raise interest rates to reduce AD and inflation","Fed sells bonds, raising interest rates and discouraging borrowing","Students sometimes call bond sales 'stimulus' because government is 'spending', but it's contractionary","MS↓ → i↑ → I↓ → AD↓"
"Module 5 Inflation Unemployment and Stabilization","Short-run Phillips curve (SRPC)","Downward-sloping relationship between inflation and unemployment in the short run","Lower unemployment tends to coincide with higher inflation and vice versa, given current expectations","Students apply this trade-off to long run where it no longer holds","N/A"
"Module 5 Inflation Unemployment and Stabilization","Long-run Phillips curve (LRPC)","Vertical line at the natural rate of unemployment, indicating no long-term trade-off between inflation and unemployment","At any inflation rate, unemployment returns to its natural rate in the long run","Students draw LRPC as downward sloping, suggesting permanent trade-off","N/A"
"Module 5 Inflation Unemployment and Stabilization","Role of expectations","People's inflation expectations shift the short-run Phillips curve; higher expected inflation shifts SRPC up","If workers expect higher inflation, they demand higher nominal wages, raising costs and shifting SRPC up","Ignoring expectations, students think policy can permanently lower unemployment with higher inflation","Higher expected inflation → SRPC shifts up"
"Module 5 Inflation Unemployment and Stabilization","Government budget deficit","Occurs when government spending exceeds tax revenues in a given year","If G is $500b and T is $400b, deficit is $100b","Students confuse annual deficit (flow) with national debt (stock of accumulated past deficits)","Deficit = G − T when G > T"
"Module 5 Inflation Unemployment and Stabilization","National debt","Total accumulated deficits minus surpluses over time","Sum of all past deficits that have not yet been repaid","Students think eliminating one year's deficit erases existing national debt","Debt = sum of past deficits − surpluses"
"Module 5 Inflation Unemployment and Stabilization","Okun's law (conceptual)","Relationship where higher cyclical unemployment is associated with larger negative output gaps","2 percentage points above natural unemployment roughly corresponds to about 4 percent output gap (approximate)","Students expect precise coefficients; CLEP mainly tests qualitative direction","Higher unemployment → actual GDP below potential"
"Module 5 Inflation Unemployment and Stabilization","Costs of unexpected inflation","Random redistribution of income and wealth between borrowers and lenders, plus increased uncertainty and administrative costs","Higher than expected inflation helps borrowers repay loans with cheaper dollars","Students confuse expected inflation (already bargained for) with unexpected, which causes surprises","Real interest ≈ nominal − actual inflation"
"Module 6 Economic Growth and Productivity","Term","Definition","Example","CLEP Trap","Related Formula/Relationship"
"Module 6 Economic Growth and Productivity","Economic growth","Increase in real GDP or real GDP per capita over time, especially growth in potential output","Real GDP rising faster than population over decades","Students confuse one-time increase in AD with long-run growth in productive capacity","Shown by outward shift of LRAS or PPC"
"Module 6 Economic Growth and Productivity","Productivity","Output per unit of input, often measured as output per worker or output per hour worked","A factory produces more units per worker after adopting new technology","Students think productivity is simply 'working harder' rather than better use of capital and technology","Productivity = output / input"
"Module 6 Economic Growth and Productivity","Human capital","Skills, knowledge, and health embodied in workers that increase productivity","Training programs and education that make workers more efficient","Students confuse human capital with physical capital or 'number of workers'","N/A"
"Module 6 Economic Growth and Productivity","Physical capital","Man-made resources like machinery, tools, and buildings used in production","Robots on an assembly line and computers in an office","Students categorize money as physical capital; money is financial asset, not capital in production sense","N/A"
"Module 6 Economic Growth and Productivity","Technology","Improvements in knowledge and production methods that allow more output with same inputs","Assembly line innovation doubling car output with same workers and machines","Students think 'technology' only means computers; in macro it includes any production process improvement","N/A"
"Module 6 Economic Growth and Productivity","Growth policy","Policies aimed at increasing long-run growth via human capital, physical capital, technology, and institutions","Tax credits for R&D, subsidies for education, improved rule of law","Students confuse short-run demand-side stimulus with long-run growth policy","N/A"
"Module 6 Economic Growth and Productivity","Savings and investment","Higher national saving provides more funds for investment, increasing capital stock and future output","Household saving rises, leading to more funds available for firms to buy capital equipment","Students see saving as 'bad for demand' and ignore its role in supporting investment and growth","N/A"
"Module 6 Economic Growth and Productivity","Crowding out and growth","Large persistent deficits can reduce private investment, slowing capital accumulation and long-run growth","Government borrowing pushes up interest rates, making it harder for firms to finance projects","Students focus solely on short-run AD boost from deficits and forget long-run capital effects","N/A"
"Module 7 Open Economy International Trade and Finance","Term","Definition","Example","CLEP Trap","Related Formula/Relationship"
"Module 7 Open Economy International Trade and Finance","Balance of payments","Accounting statement of a nation's transactions with the rest of the world, divided into current and financial accounts","US imports goods, exports services, and has capital flows reported in BOP","Students think each account must be balanced separately; actually, overall BOP must balance","Current account + financial account + statistical discrepancy = 0"
"Module 7 Open Economy International Trade and Finance","Current account","Part of BOP that records trade in goods and services, net income from abroad, and net current transfers","US exports software and imports oil; net exports and remittances show up here","Students include foreign asset purchases here; those belong in financial account","N/A"
"Module 7 Open Economy International Trade and Finance","Financial account","Part of BOP that records purchase and sale of financial assets and real assets across borders","Foreigners buying US Treasury bonds or US firms buying foreign factories","Students confuse with current account, especially for bond and stock flows","N/A"
"Module 7 Open Economy International Trade and Finance","Exchange rate","Price of one currency in terms of another currency","1 US dollar trading for 0.9 euros","Students mix up direct and indirect quotations and misinterpret appreciation vs depreciation","N/A"
"Module 7 Open Economy International Trade and Finance","Appreciation of currency","Increase in value of a currency relative to others; each unit buys more foreign currency","Dollar appreciates, making European vacations cheaper for Americans","Students assume appreciation is always good; it hurts exports and can reduce net exports","Appreciation → exports↓, imports↑ → NX↓"
"Module 7 Open Economy International Trade and Finance","Depreciation of currency","Decrease in value of a currency; each unit buys less foreign currency","Dollar depreciates, making US goods cheaper for foreigners","Students confuse depreciation with domestic deflation; depreciation specifically refers to exchange rate","Depreciation → exports↑, imports↓ → NX↑"
"Module 7 Open Economy International Trade and Finance","Foreign exchange market (FOREX)","Market in which currencies are traded, with supply and demand determining exchange rates under floating system","Increase in foreign demand for US assets raises demand for dollars, causing appreciation","Students reverse which curve is demand or supply for domestic currency","N/A"
"Module 7 Open Economy International Trade and Finance","Effect of interest rate changes on currency","Higher domestic real interest rates attract foreign capital, increasing demand for domestic currency and causing appreciation","Fed raises real rates; investors move money into US bonds, pushing up dollar value","Students think higher interest rates always improve net exports; appreciation tends to reduce them","Higher r → capital inflow → currency appreciates → NX falls"
"Module 7 Open Economy International Trade and Finance","Effect of fiscal expansion in open economy","Higher G or lower T can raise interest rates, attract foreign capital, appreciate currency, and reduce net exports, partly offsetting AD increase","Government deficit spending raises rates and dollar value, hurting export sector","Students ignore exchange rate channel and overstate AD impact of fiscal policy in open economy","N/A"
"Module 7 Open Economy International Trade and Finance","Trade balance and exchange rate","In floating system, trade deficits can lead to currency depreciation over time as more domestic currency is supplied on FOREX","Persistent US trade deficit can weaken the dollar, making exports cheaper and imports more expensive","Students expect fixed relationships; in reality, capital flows also drive exchange rates","N/A"
