Question,Option A,Option B,Option C,Option D,Option E,Answer
"A recession is typically defined as:",A period of high inflation,"Two consecutive quarters of falling real GDP","Any period with unemployment above 5%","A year with budget deficits","A period when nominal GDP falls but real GDP rises",B
"The aggregate demand curve shows the relationship between:",Price level and quantity of a single good demanded,"Price level and total real output demanded","Real interest rate and investment","Price level and total real output supplied","Money supply and interest rate",B
"Aggregate demand is made up of:",C + I + G only,"C + I + G + T","C + I + G + (X − M)","C + S + T","C + I + G + transfers",C
"The wealth effect, interest rate effect, and net export effect are used to explain:",Why SRAS slopes upward,"Why LRAS is vertical","Why the AD curve slopes downward","Why money demand is downward sloping","Why supply curves slope upward",C
"Short-run aggregate supply (SRAS) slopes upward primarily because:",All prices and wages are fully flexible,"Some input prices, especially wages, are sticky in the short run","Demand is always increasing","Technology is constant","Money supply is fixed",B
"Long-run aggregate supply (LRAS) is vertical because:",Real output depends only on price level,"Wages are sticky in the long run","Real output depends on resources and technology, not price level","Demand is constant in the long run","Interest rates are constant",C
"A recessionary (negative) output gap occurs when:",Actual real GDP exceeds potential GDP,"Actual real GDP equals potential GDP","Actual real GDP is below potential GDP","Unemployment is below the natural rate","Price level is rising",C
"An inflationary (positive) output gap occurs when:",Actual GDP is below potential GDP,"Actual GDP equals potential GDP","Actual GDP is above potential GDP","Unemployment is above the natural rate","The CPI is falling",C
"The marginal propensity to consume (MPC) is defined as:",Total consumption / total income,Change in consumption / change in income,Change in saving / change in income,Total saving / total income,"Change in income / change in consumption",B
"If MPC = 0.75, the spending multiplier equals:",0.25,0.75,1.33,2,4,E
"If MPC = 0.8, what is the tax multiplier?",−5,−4,−3,4,5,C
"If the government increases spending by $50 billion and the multiplier is 3, the maximum change in equilibrium GDP is:",$50 billion,"$100 billion","$150 billion","$200 billion","$300 billion",C
"Which policy combination is expansionary fiscal policy?",Increase G, increase T,"Increase G, decrease T","Decrease G, increase T","Decrease G, decrease T","Hold G and T constant",B
"Which of the following best describes crowding out?",Government spending increases private investment,"Government borrowing raises interest rates, reducing private investment","Tax cuts increase private saving","Higher interest rates increase consumer spending","Government surpluses reduce investment",B
"Automatic stabilizers include:",Discretionary stimulus bills,"One-time tax rebates","Progressive income taxes and unemployment benefits","Open market operations","Changes in reserve requirements",C
"Which of the following is an example of discretionary fiscal policy?",Increase in unemployment benefits during a recession,"More people moving into higher tax brackets as income rises","Congress passes a new infrastructure spending bill","Automatic drop in tax revenue during downturn","Increase in imports when income rises",C
"In the money market, the nominal interest rate is determined by:",Supply and demand for loanable funds,"Supply and demand for money","Supply and demand for bonds","Supply and demand for labor","Supply and demand for goods",B
"The primary function of the Federal Reserve's open market operations is to:",Change tax rates,"Change government spending","Change the money supply","Change government deficits","Change exchange rates",C
"When the Federal Reserve buys government bonds in the open market, it tends to:",Decrease bank reserves and raise interest rates,"Decrease money supply and lower interest rates","Increase bank reserves and lower interest rates","Increase reserve requirement","Decrease aggregate demand",C
"The simple money multiplier equals:",1 − rr,"1 / rr","1 / (1 − rr)","rr / (1 − rr)","(1 − rr) / rr",B
"If the required reserve ratio is 10%, the simple money multiplier is:",5,8,9,10,20,D
"Which of the following actions is contractionary monetary policy?",Fed buys bonds,Fed lowers discount rate,Fed reduces reserve requirement,Fed sells bonds,"Fed decreases the federal funds target range",D
"Real interest rate is approximately equal to:",Nominal interest rate + inflation rate,"Nominal interest rate − inflation rate","Inflation rate − nominal interest rate","Nominal interest rate × inflation rate","Nominal interest rate / inflation rate",B
"Which combination will most likely close a recessionary gap?",Sell bonds and cut G,"Buy bonds and cut T","Cut G and raise T","Raise reserve requirement and sell bonds","Raise discount rate and sell bonds",B
"The short-run Phillips curve shows:",Positive relationship between inflation and unemployment,"Negative relationship between inflation and unemployment","Long-run relationship between inflation and real GDP","Relationship between interest rates and unemployment","Negative relationship between inflation and real GDP",B
"Movement along a given short-run Phillips curve is caused by:",Changes in aggregate demand,"Changes in aggregate supply only","Changes in natural rate of unemployment","Changes in expected inflation only","Changes in money supply only with no AD effect",A
"The long-run Phillips curve is:",Downward sloping,"Upward sloping","Vertical at the natural rate of unemployment","Horizontal at zero inflation","Horizontal at zero unemployment",C
"A negative supply shock (leftward shift of SRAS) will in the short run:",Lower inflation and unemployment,"Lower inflation and raise unemployment","Raise inflation and lower unemployment","Raise inflation and raise unemployment","Leave inflation and unemployment unchanged",D
"Stagflation is best described as:",Low inflation and low unemployment,"High inflation and low unemployment","High inflation and high unemployment","Low inflation and high unemployment","Zero inflation and high unemployment",C
"Which of the following best represents economic growth in the AD–AS model?",Rightward shift of AD,"Rightward shift of SRAS only","Rightward shift of LRAS","Movement along SRAS","Leftward shift of AD",C
"An increase in human capital in a country will most likely:",Shift AD left,"Shift LRAS right","Shift SRAS left","Lower nominal interest rates permanently","Cause hyperinflation",B
"Investment in physical capital primarily affects:",Short-run aggregate demand only,"Long-run productive capacity","Price level only","Unemployment rate only","Velocity of money",B
"A sustained increase in real GDP per capita over decades is most likely due to:",Temporary fiscal stimulus,"Permanent increase in money supply","Technological progress and capital accumulation","Short-run demand shocks","Changes in minimum wage",C
"An open economy is defined as one that:",Does not trade with other countries,"Trades goods but not financial assets","Engages in international trade of goods, services, and financial assets","Has flexible exchange rates only","Has fixed exchange rates only",C
"The current account in the balance of payments includes:",Trade in goods and services only,"Imports and exports of goods, services, income, and transfers","Only capital flows","Only foreign direct investment","Only official reserve transactions",B
"A current account deficit implies that the country:",Exports more than it imports,"Imports more than it exports","Has a balanced trade account","Has no capital flows","Has no foreign investment",B
"The financial (capital) account of the balance of payments mainly records:",Exports and imports of goods,"Exports and imports of services","Purchases of financial assets and real assets across borders","Government spending on capital goods","Tax receipts from foreigners",C
"If the U.S. dollar appreciates relative to the euro, which is most likely?",U.S. exports to Europe increase,"European imports become more expensive to Americans","U.S. imports from Europe increase","U.S. goods become cheaper to Europeans","Net exports in the U.S. rise",C
"If the domestic currency depreciates, in the short run this tends to:",Reduce exports and increase imports,"Increase exports and reduce imports","Reduce both exports and imports","Increase both exports and imports","Leave net exports unchanged",B
"In the foreign exchange market, the demand for a country's currency comes from:",Domestic residents wanting foreign goods,"Foreigners wanting the country's goods, services, and assets","The central bank only","Domestic government debt","Domestic firms only",B
"If domestic real interest rates rise relative to foreign rates, what is the likely short-run effect?",Capital outflow and currency depreciation,"Capital inflow and currency appreciation","No change in capital flows","Capital inflow and currency depreciation","Capital outflow and currency appreciation",B
"A country with a current account deficit must have:",A financial account deficit,"A financial account surplus","No capital flows","A budget surplus","High unemployment",B
"Which of the following changes in fiscal policy is most likely to reduce a trade deficit in the short run?",Increase G and decrease T,"Decrease G and increase T","Increase both G and T","Decrease both G and T","Hold G and T constant",B
"Which situation is most clearly an example of automatic stabilizers at work?",Congress passes a new tax cut,"Fed buys bonds in open market","Tax revenues fall and unemployment benefits rise in a recession without new laws","Government launches a new infrastructure project","Central bank raises interest rates",C
"A rightward shift of the AD curve with no shift in SRAS in the short run will most likely:",Increase real GDP and decrease price level,"Decrease real GDP and increase price level","Increase both real GDP and price level","Decrease both real GDP and price level","Leave both unchanged",C
"In the long run, an increase in the money supply will most likely:",Increase both real GDP and price level permanently,"Increase real GDP only","Increase price level but leave real GDP unchanged","Decrease price level and real GDP","Have no effect on either",C
"Which of the following is an example of cost-push inflation?",Increase in government spending,"Tax cuts increasing consumption","Oil price spike raising production costs","Increase in money supply","Decrease in export demand",C
"A decrease in taxes with no change in government spending will most likely:",Shift AD right,"Shift AD left","Shift LRAS left","Shift SRAS right","Have no effect on any curve",A
"Which of the following will cause the short-run Phillips curve to shift to the right?",Decrease in expected inflation,"Increase in expected inflation","Decrease in natural rate of unemployment","Increase in LRAS","Decrease in AD",B
"At full employment with no output gap, unemployment is:",Zero,"Lower than the natural rate","Equal to the natural rate","Higher than the natural rate","Undefined",C
"Which policy mix is most likely to combat high inflation?",Increase G and buy bonds,"Decrease G and sell bonds","Decrease G and buy bonds","Increase G and sell bonds","Cut T and buy bonds",B
"In a severe recession with interest rates near zero, monetary policy may be less effective because:",Money multiplier is infinite,"Velocity of money is very high","Liquidity trap conditions limit further interest rate reductions","Reserve requirements are too low","Tax rates are fixed",C
"Which of the following best describes the classical view of self-correction?",Wages and prices are sticky so output gaps persist,"Wages and prices are flexible so economy quickly returns to full employment","Unemployment is always at the natural rate","Government must intervene for full employment","Money supply has no impact on inflation",B
"Keynesian economists tend to believe that:",Wage and price flexibility makes recessions brief,"Fiscal policy is ineffective","Economy can get stuck in prolonged recessions due to rigidities","Money supply has no effect on interest rates","Aggregate supply always determines output",C
"Which of the following is an example of structural unemployment?",Worker laid off because of a recession,"Student between school and first job","Coal miner unemployed because industry has declined","Ski instructor unemployed in summer","Worker quitting job to move cities",C
"If inflation is higher than expected, which group tends to benefit?",Lenders,"Borrowers","Workers with cost-of-living adjustments","Workers with fixed nominal wages","Retirees with fixed nominal pensions",B
"Which combination of changes would most likely increase long-run economic growth?",Higher consumption and lower investment,"Lower consumption and higher investment","Higher government transfers and lower investment","Higher taxes on capital and lower saving","Lower education spending and higher consumption",B
"Which of the following would most likely shift both AD and SRAS to the right in the long run?",Increase in human capital,"One-time tax rebate","Decrease in money supply","Increase in oil prices","Increase in minimum wage",A
"In the circular flow model, households:",Supply goods and demand factors,"Supply factors and demand goods and services","Only save and do not consume","Only consume and do not save","Act as government agents",B
"Which of the following is counted as investment in national income accounting?",Purchase of stocks,"Purchase of new machines by a factory","Purchase of government bonds","Repayment of loans","Transfer payments",B
