front,back,CLEP Trap
"Demand-pull inflation","Inflation caused by increases in aggregate demand, often from expansionary policy or strong spending","Trap: Confusing demand-pull inflation with cost-push inflation from supply shocks"
"Cost-push inflation","Inflation caused by decreases in short-run aggregate supply, often due to rising input costs or negative supply shocks","Trap: Mislabeling cost-push inflation as a demand shift when the correct curve is SRAS"
"Stagflation","Combination of high inflation and high unemployment, usually due to a negative supply shock shifting SRAS left","Trap: Assuming high inflation always goes with low unemployment because of the Phillips curve"
"Balance of payments","Record of all transactions between residents of a country and the rest of the world, consisting of the current account and the financial account","Trap: Students think the balance of payments must always equal zero separately for each account, rather than overall"
"Current account","Part of the balance of payments that records trade in goods and services, net income from abroad, and net current transfers","Trap: Including purchases of foreign assets in the current account instead of the financial account"
"Financial account","Part of the balance of payments that records purchases and sales of financial assets and real assets across borders","Trap: Mixing up financial account with current account, especially for bond and stock purchases"
"Exchange rate appreciation","An increase in the value of a currency relative to another, meaning each unit buys more foreign currency","Trap: Students often think appreciation helps exports; it actually tends to reduce exports and increase imports"
"Exchange rate depreciation","A decrease in the value of a currency, meaning each unit buys less foreign currency","Trap: Confusing depreciation with deflation; depreciation is about currency value, not domestic price level"
"Effect of appreciation on net exports","Appreciation makes exports more expensive and imports cheaper, tending to reduce net exports","Trap: Students say 'strong currency is always good' and forget it can hurt net exports"
"Effect of depreciation on net exports","Depreciation makes exports cheaper and imports more expensive, tending to increase net exports","Trap: Thinking depreciation hurts exports because currency is 'weak'; in fact, it helps export competitiveness"
"Open economy interest rate effect","If domestic real interest rates rise relative to foreign rates, capital flows in, the domestic currency appreciates, and net exports fall","Trap: Students think higher interest rates always increase net exports because saving rises"
"Automatic vs discretionary fiscal policy","Automatic stabilizers operate without new laws; discretionary policy requires deliberate legislative action","Trap: Labeling a voted stimulus package as 'automatic' when it is discretionary"
"Short run vs long run in macro","Short run: some prices and wages are sticky; long run: all prices and wages are flexible","Trap: Students apply long-run reasoning (vertical LRAS) to short-run AD-AS questions and vice versa"
"Economic growth vs business cycle expansion","Growth is a long-run upward trend in potential output; expansion is a short-run movement above recent output levels","Trap: Treating any increase in GDP as long-run growth rather than distinguishing trend from cycle"
"Human capital","The skills, knowledge, and health of workers that increase their productivity","Trap: Confusing human capital (intangible) with physical capital like machines and buildings"
"Physical capital","Produced resources such as machinery, tools, and buildings used to make other goods and services","Trap: Calling natural resources or money 'physical capital'; they are different categories"
"Role of technology in growth","Technological progress allows more output from the same inputs, shifting LRAS and PPC outward","Trap: Students think technology only affects AD through investment, ignoring its LRAS impact"
"Government budget deficit","Occurs when government spending exceeds tax revenue in a given period","Trap: Confusing deficit (flow each year) with debt (accumulated past deficits)"
"Crowding out and growth","Persistent deficits may raise interest rates and crowd out private investment, slowing capital accumulation and long-run growth","Trap: Ignoring long-run effects of deficits and treating them as only short-run AD boosts"
"Keynesian vs classical view of self-correction","Keynesians think wages and prices are sticky so self-correction is slow; classical view assumes flexible prices and quick return to full employment","Trap: Assuming the exam will always assume instant self-correction; many questions use the Keynesian short run"
"Real wage","Real wage = nominal wage / price level; measures purchasing power of wages","Trap: Treating nominal and real wages as the same when inflation is present"
"Nominal vs real GDP growth","Nominal GDP growth includes changes in price and output; real GDP growth reflects only changes in output","Trap: Concluding that living standards rose just because nominal GDP increased"
"Multiplier and crowding out together","The actual impact of fiscal policy is the theoretical multiplier effect minus any reduction in investment from crowding out","Trap: Overstating fiscal policy's impact by applying full multiplier without considering interest rate effects"
"Short-run AD-AS shock stories","Positive AD shock: higher real GDP and price level; negative AD shock: lower real GDP and price level; negative SRAS shock: lower real GDP and higher price level","Trap: Misidentifying which curve shifts for demand vs supply shocks"
"Money neutrality in the long run","In the long run, changes in the money supply affect nominal variables (like price level) but not real variables (like real GDP)","Trap: Assuming monetary policy can permanently raise real GDP in the long run"
"Hyperinflation","Extremely high and accelerating inflation, usually caused by rapid growth in the money supply far beyond growth in output","Trap: Students sometimes attribute hyperinflation only to 'greedy firms' instead of monetary causes"
"Costs of unexpected inflation","Unexpected inflation redistributes income between borrowers and lenders and increases uncertainty","Trap: Confusing expected and unexpected inflation; expected inflation is already priced into contracts"
"Foreign exchange market curves","Demand for a currency is from foreigners buying domestic goods and assets; supply of a currency is from residents buying foreign goods and assets","Trap: Reversing which side is demand and which is supply when reading FX graphs"
"Link between loanable funds and FX","Higher domestic real interest rates attract foreign capital, shifting demand for domestic currency right and causing appreciation","Trap: Ignoring the connection between interest rate changes at home and currency movements"
"Sticky wages","Nominal wages that adjust slowly to changes in economic conditions, making SRAS upward sloping","Trap: Students think wages adjust instantly in the short run, eliminating short-run output gaps"
"Okun's law (conceptual)","The idea that when unemployment is above the natural rate, real GDP is below potential; larger unemployment gaps imply larger negative output gaps","Trap: Expecting precise numeric Okun's coefficient; CLEP usually tests only the qualitative relationship"
"Menu and shoe-leather costs","Menu costs: costs of changing prices; shoe-leather costs: costs of more frequent transactions due to inflation","Trap: Mixing these up with opportunity costs of capital or tax distortions"
"International capital flows and interest parity","Capital tends to flow toward countries with higher real interest rates, affecting loanable funds, exchange rates, and AD","Trap: Assuming capital only flows based on GDP size or trade, ignoring interest rate differentials"
